widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,Fellow,4.0,2.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,1,Fellow Citizens :,0,0
2,Citizens,8.0,3.0,1.0,NNPS,root,1.0,1.0,1.0,1.0,0.0,1,Fellow Citizens :,0,0
3,:,,,,:,,,,,,,1,Fellow Citizens :,0,0
1,I,1.0,1.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,2,I AM again called upon by the voice of my country to execute the functions of its Chief Magistrate .,4,3
2,AM,2.0,1.0,1.0,NNP,nsubj,3.0,3.0,3.0,3.0,-2.0,2,I AM again called upon by the voice of my country to execute the functions of its Chief Magistrate .,4,3
3,again,4.0,2.0,1.0,RB,advmod,2.0,2.0,2.0,2.0,-1.0,2,I AM again called upon by the voice of my country to execute the functions of its Chief Magistrate .,4,3
4,called,4.0,1.0,1.0,VBD,root,2.0,2.0,2.0,2.0,-1.0,2,I AM again called upon by the voice of my country to execute the functions of its Chief Magistrate .,4,3
5,upon,4.0,2.0,1.0,IN,case,3.0,3.0,3.0,3.0,-2.0,2,I AM again called upon by the voice of my country to execute the functions of its Chief Magistrate .,4,3
6,by,2.0,1.0,1.0,IN,case,3.0,3.0,2.0,3.0,-1.75,2,I AM again called upon by the voice of my country to execute the functions of its Chief Magistrate .,4,3
7,the,2.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,2,I AM again called upon by the voice of my country to execute the functions of its Chief Magistrate .,4,3
8,voice,3.0,1.0,1.0,NN,nmod:by,2.0,2.0,2.0,2.0,-1.0,2,I AM again called upon by the voice of my country to execute the functions of its Chief Magistrate .,4,3
9,of,2.0,1.0,1.0,IN,case,3.0,3.0,2.0,3.0,-1.75,2,I AM again called upon by the voice of my country to execute the functions of its Chief Magistrate .,4,3
10,my,2.0,1.0,1.0,PRP$,nmod:poss,3.0,3.0,3.0,3.0,-2.0,2,I AM again called upon by the voice of my country to execute the functions of its Chief Magistrate .,4,3
11,country,6.0,2.0,1.0,NN,nmod:of,2.0,2.0,2.0,2.0,-1.0,2,I AM again called upon by the voice of my country to execute the functions of its Chief Magistrate .,4,3
12,to,2.0,1.0,1.0,TO,mark,3.0,3.0,3.0,3.0,-2.0,2,I AM again called upon by the voice of my country to execute the functions of its Chief Magistrate .,4,3
13,execute,8.0,3.0,2.0,VB,acl,2.0,2.0,2.0,2.0,-1.0,2,I AM again called upon by the voice of my country to execute the functions of its Chief Magistrate .,4,3
14,the,2.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,2,I AM again called upon by the voice of my country to execute the functions of its Chief Magistrate .,4,3
15,functions,8.0,2.0,1.0,NNS,dobj,2.0,2.0,2.0,2.0,-1.0,2,I AM again called upon by the voice of my country to execute the functions of its Chief Magistrate .,4,3
16,of,2.0,1.0,1.0,IN,case,3.0,3.0,2.0,3.0,-1.75,2,I AM again called upon by the voice of my country to execute the functions of its Chief Magistrate .,4,3
17,its,3.0,1.0,1.0,PRP$,nmod:poss,3.0,3.0,3.0,3.0,-2.0,2,I AM again called upon by the voice of my country to execute the functions of its Chief Magistrate .,4,3
18,Chief,3.0,1.0,1.0,NNP,compound,1.0,1.0,1.0,1.0,0.0,2,I AM again called upon by the voice of my country to execute the functions of its Chief Magistrate .,4,3
19,Magistrate,9.0,3.0,2.0,NNP,nmod:of,2.0,2.0,2.0,2.0,-1.0,2,I AM again called upon by the voice of my country to execute the functions of its Chief Magistrate .,4,3
20,.,,,,.,,,,,,,2,I AM again called upon by the voice of my country to execute the functions of its Chief Magistrate .,4,3
1,When,3.0,1.0,1.0,WRB,advmod,5.0,5.0,3.0,5.0,-3.5,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
2,the,2.0,1.0,0.0,DT,det,6.0,6.0,6.0,6.0,-5.0,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
3,occasion,6.0,3.0,1.0,NN,nsubj,4.0,4.0,4.0,4.0,-3.0,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
4,proper,5.0,2.0,1.0,JJ,amod,3.0,3.0,4.0,3.0,-2.25,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
5,for,3.0,1.0,1.0,IN,case,6.0,6.0,3.0,6.0,-4.25,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
6,it,2.0,1.0,1.0,PRP,nmod:for,7.0,7.0,6.0,7.0,-5.75,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
7,shall,3.0,1.0,1.0,MD,aux,4.0,4.0,3.0,4.0,-2.75,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
8,arrive,3.0,2.0,1.0,VB,advcl,2.0,2.0,2.0,2.0,-1.0,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
9,",",,,,",",,,,,,,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
10,I,1.0,1.0,1.0,PRP,nsubj,4.0,4.0,2.0,4.0,-2.5,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
11,shall,3.0,1.0,1.0,MD,aux,3.0,3.0,2.0,3.0,-1.75,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
12,endeavor,6.0,3.0,1.0,VB,root,2.0,2.0,2.0,2.0,-1.0,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
13,to,2.0,1.0,1.0,TO,mark,3.0,3.0,3.0,3.0,-2.0,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
14,express,7.0,2.0,1.0,VB,xcomp,2.0,2.0,2.0,2.0,-1.0,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
15,the,2.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,3,"When the occasion proper for it shall arrive , I shall endeavor to express the high sense I entertain of this distinguished honor , and of the confidence which has been reposed in me by the people of united America .",15,14
