widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,Friends,6.0,1.0,1.0,NNPS,root,2.0,2.0,2.0,2.0,-1.0,1,Friends and Fellow-Citizens :,0,0
2,and,3.0,1.0,1.0,CC,cc,3.0,3.0,3.0,3.0,-2.0,1,Friends and Fellow-Citizens :,0,0
3,Fellow-Citizens,,,,NNPS,conj:and,1.0,1.0,1.0,1.0,0.0,1,Friends and Fellow-Citizens :,0,0
4,:,,,,:,,,,,,,1,Friends and Fellow-Citizens :,0,0
1,CALLED,4.0,1.0,1.0,VBN,advcl,3.0,3.0,3.0,3.0,-2.0,2,"CALLED upon to undertake the duties of the first executive office of our country , I avail myself of the presence of that portion of my fellow-citizens which is here assembled to express my grateful thanks for the favor with which they have been pleased to look toward me , to declare a sincere consciousness that the task is above my talents , and that I approach it with those anxious and awful presentiments which the greatness of the charge and the weakness of my powers so justly inspire .",28,25
2,upon,4.0,2.0,1.0,RB,advcl,3.0,3.0,3.0,3.0,-2.0,2,"CALLED upon to undertake the duties of the first executive office of our country , I avail myself of the presence of that portion of my fellow-citizens which is here assembled to express my grateful thanks for the favor with which they have been pleased to look toward me , to declare a sincere consciousness that the task is above my talents , and that I approach it with those anxious and awful presentiments which the greatness of the charge and the weakness of my powers so justly inspire .",28,25
3,to,2.0,1.0,1.0,TO,mark,4.0,4.0,4.0,4.0,-3.0,2,"CALLED upon to undertake the duties of the first executive office of our country , I avail myself of the presence of that portion of my fellow-citizens which is here assembled to express my grateful thanks for the favor with which they have been pleased to look toward me , to declare a sincere consciousness that the task is above my talents , and that I approach it with those anxious and awful presentiments which the greatness of the charge and the weakness of my powers so justly inspire .",28,25
4,undertake,7.0,3.0,2.0,VB,xcomp,3.0,3.0,3.0,3.0,-2.0,2,"CALLED upon to undertake the duties of the first executive office of our country , I avail myself of the presence of that portion of my fellow-citizens which is here assembled to express my grateful thanks for the favor with which they have been pleased to look toward me , to declare a sincere consciousness that the task is above my talents , and that I approach it with those anxious and awful presentiments which the greatness of the charge and the weakness of my powers so justly inspire .",28,25
5,the,2.0,1.0,0.0,DT,det,5.0,5.0,5.0,5.0,-4.0,2,"CALLED upon to undertake the duties of the first executive office of our country , I avail myself of the presence of that portion of my fellow-citizens which is here assembled to express my grateful thanks for the favor with which they have been pleased to look toward me , to declare a sincere consciousness that the task is above my talents , and that I approach it with those anxious and awful presentiments which the greatness of the charge and the weakness of my powers so justly inspire .",28,25
6,duties,5.0,2.0,1.0,NNS,dobj,3.0,3.0,3.0,3.0,-2.0,2,"CALLED upon to undertake the duties of the first executive office of our country , I avail myself of the presence of that portion of my fellow-citizens which is here assembled to express my grateful thanks for the favor with which they have been pleased to look toward me , to declare a sincere consciousness that the task is above my talents , and that I approach it with those anxious and awful presentiments which the greatness of the charge and the weakness of my powers so justly inspire .",28,25
7,of,2.0,1.0,1.0,IN,case,4.0,4.0,3.0,4.0,-2.75,2,"CALLED upon to undertake the duties of the first executive office of our country , I avail myself of the presence of that portion of my fellow-citizens which is here assembled to express my grateful thanks for the favor with which they have been pleased to look toward me , to declare a sincere consciousness that the task is above my talents , and that I approach it with those anxious and awful presentiments which the greatness of the charge and the weakness of my powers so justly inspire .",28,25
