widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,Unwilling,7.0,3.0,1.0,JJ,ccomp,3.0,3.0,3.0,3.0,-2.0,1,"Unwilling to depart from examples of the most revered authority , I avail myself of the occasion now presented to express the profound impression made on me by the call of my country to the station to the duties of which I am about to pledge myself by the most solemn of sanctions .",17,14
2,to,2.0,1.0,1.0,TO,mark,4.0,4.0,4.0,4.0,-3.0,1,"Unwilling to depart from examples of the most revered authority , I avail myself of the occasion now presented to express the profound impression made on me by the call of my country to the station to the duties of which I am about to pledge myself by the most solemn of sanctions .",17,14
3,depart,6.0,2.0,1.0,VB,xcomp,3.0,3.0,3.0,3.0,-2.0,1,"Unwilling to depart from examples of the most revered authority , I avail myself of the occasion now presented to express the profound impression made on me by the call of my country to the station to the duties of which I am about to pledge myself by the most solemn of sanctions .",17,14
4,from,4.0,1.0,1.0,IN,case,4.0,4.0,3.0,4.0,-2.75,1,"Unwilling to depart from examples of the most revered authority , I avail myself of the occasion now presented to express the profound impression made on me by the call of my country to the station to the duties of which I am about to pledge myself by the most solemn of sanctions .",17,14
5,examples,9.0,3.0,1.0,NNS,nmod:from,3.0,3.0,3.0,3.0,-2.0,1,"Unwilling to depart from examples of the most revered authority , I avail myself of the occasion now presented to express the profound impression made on me by the call of my country to the station to the duties of which I am about to pledge myself by the most solemn of sanctions .",17,14
6,of,2.0,1.0,1.0,IN,case,4.0,4.0,3.0,4.0,-2.75,1,"Unwilling to depart from examples of the most revered authority , I avail myself of the occasion now presented to express the profound impression made on me by the call of my country to the station to the duties of which I am about to pledge myself by the most solemn of sanctions .",17,14
7,the,2.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,1,"Unwilling to depart from examples of the most revered authority , I avail myself of the occasion now presented to express the profound impression made on me by the call of my country to the station to the duties of which I am about to pledge myself by the most solemn of sanctions .",17,14
8,most,4.0,1.0,1.0,RBS,advmod,4.0,4.0,4.0,4.0,-3.0,1,"Unwilling to depart from examples of the most revered authority , I avail myself of the occasion now presented to express the profound impression made on me by the call of my country to the station to the duties of which I am about to pledge myself by the most solemn of sanctions .",17,14
9,revered,6.0,2.0,1.0,JJ,amod,3.0,3.0,3.0,3.0,-2.0,1,"Unwilling to depart from examples of the most revered authority , I avail myself of the occasion now presented to express the profound impression made on me by the call of my country to the station to the duties of which I am about to pledge myself by the most solemn of sanctions .",17,14
10,authority,7.0,4.0,1.0,NN,nmod:of,2.0,2.0,2.0,2.0,-1.0,1,"Unwilling to depart from examples of the most revered authority , I avail myself of the occasion now presented to express the profound impression made on me by the call of my country to the station to the duties of which I am about to pledge myself by the most solemn of sanctions .",17,14
11,",",,,,",",,,,,,,1,"Unwilling to depart from examples of the most revered authority , I avail myself of the occasion now presented to express the profound impression made on me by the call of my country to the station to the duties of which I am about to pledge myself by the most solemn of sanctions .",17,14
12,I,1.0,1.0,1.0,PRP,nsubj,4.0,4.0,2.0,4.0,-2.5,1,"Unwilling to depart from examples of the most revered authority , I avail myself of the occasion now presented to express the profound impression made on me by the call of my country to the station to the duties of which I am about to pledge myself by the most solemn of sanctions .",17,14
13,avail,4.0,2.0,1.0,VBZ,root,2.0,2.0,2.0,2.0,-1.0,1,"Unwilling to depart from examples of the most revered authority , I avail myself of the occasion now presented to express the profound impression made on me by the call of my country to the station to the duties of which I am about to pledge myself by the most solemn of sanctions .",17,14
14,myself,6.0,2.0,2.0,PRP,dobj,4.0,4.0,4.0,4.0,-3.0,1,"Unwilling to depart from examples of the most revered authority , I avail myself of the occasion now presented to express the profound impression made on me by the call of my country to the station to the duties of which I am about to pledge myself by the most solemn of sanctions .",17,14
15,of,2.0,1.0,1.0,IN,case,3.0,3.0,2.0,3.0,-1.75,1,"Unwilling to depart from examples of the most revered authority , I avail myself of the occasion now presented to express the profound impression made on me by the call of my country to the station to the duties of which I am about to pledge myself by the most solemn of sanctions .",17,14
16,the,2.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,1,"Unwilling to depart from examples of the most revered authority , I avail myself of the occasion now presented to express the profound impression made on me by the call of my country to the station to the duties of which I am about to pledge myself by the most solemn of sanctions .",17,14
17,occasion,6.0,3.0,1.0,NN,nmod:of,2.0,2.0,2.0,2.0,-1.0,1,"Unwilling to depart from examples of the most revered authority , I avail myself of the occasion now presented to express the profound impression made on me by the call of my country to the station to the duties of which I am about to pledge myself by the most solemn of sanctions .",17,14
18,now,2.0,1.0,1.0,RB,advmod,2.0,2.0,2.0,2.0,-1.0,1,"Unwilling to depart from examples of the most revered authority , I avail myself of the occasion now presented to express the profound impression made on me by the call of my country to the station to the duties of which I am about to pledge myself by the most solemn of sanctions .",17,14
19,presented,9.0,3.0,1.0,VBN,acl,2.0,2.0,2.0,2.0,-1.0,1,"Unwilling to depart from examples of the most revered authority , I avail myself of the occasion now presented to express the profound impression made on me by the call of my country to the station to the duties of which I am about to pledge myself by the most solemn of sanctions .",17,14
20,to,2.0,1.0,1.0,TO,mark,3.0,3.0,3.0,3.0,-2.0,1,"Unwilling to depart from examples of the most revered authority , I avail myself of the occasion now presented to express the profound impression made on me by the call of my country to the station to the duties of which I am about to pledge myself by the most solemn of sanctions .",17,14
21,express,7.0,2.0,1.0,VB,xcomp,2.0,2.0,2.0,2.0,-1.0,1,"Unwilling to depart from examples of the most revered authority , I avail myself of the occasion now presented to express the profound impression made on me by the call of my country to the station to the duties of which I am about to pledge myself by the most solemn of sanctions .",17,14
22,the,2.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,1,"Unwilling to depart from examples of the most revered authority , I avail myself of the occasion now presented to express the profound impression made on me by the call of my country to the station to the duties of which I am about to pledge myself by the most solemn of sanctions .",17,14
23,profound,7.0,2.0,1.0,JJ,amod,3.0,3.0,3.0,3.0,-2.0,1,"Unwilling to depart from examples of the most revered authority , I avail myself of the occasion now presented to express the profound impression made on me by the call of my country to the station to the duties of which I am about to pledge myself by the most solemn of sanctions .",17,14
24,impression,8.0,3.0,1.0,NN,dobj,2.0,2.0,2.0,2.0,-1.0,1,"Unwilling to depart from examples of the most revered authority , I avail myself of the occasion now presented to express the profound impression made on me by the call of my country to the station to the duties of which I am about to pledge myself by the most solemn of sanctions .",17,14
25,made,3.0,1.0,1.0,VBN,acl,3.0,3.0,3.0,3.0,-2.0,1,"Unwilling to depart from examples of the most revered authority , I avail myself of the occasion now presented to express the profound impression made on me by the call of my country to the station to the duties of which I am about to pledge myself by the most solemn of sanctions .",17,14
26,on,2.0,1.0,1.0,IN,case,5.0,5.0,4.0,5.0,-3.75,1,"Unwilling to depart from examples of the most revered authority , I avail myself of the occasion now presented to express the profound impression made on me by the call of my country to the station to the duties of which I am about to pledge myself by the most solemn of sanctions .",17,14
27,me,2.0,1.0,1.0,PRP,nmod:on,6.0,6.0,3.0,6.0,-4.25,1,"Unwilling to depart from examples of the most revered authority , I avail myself of the occasion now presented to express the profound impression made on me by the call of my country to the station to the duties of which I am about to pledge myself by the most solemn of sanctions .",17,14
28,by,2.0,1.0,1.0,IN,case,5.0,5.0,4.0,5.0,-3.75,1,"Unwilling to depart from examples of the most revered authority , I avail myself of the occasion now presented to express the profound impression made on me by the call of my country to the station to the duties of which I am about to pledge myself by the most solemn of sanctions .",17,14
29,the,2.0,1.0,0.0,DT,det,6.0,6.0,6.0,6.0,-5.0,1,"Unwilling to depart from examples of the most revered authority , I avail myself of the occasion now presented to express the profound impression made on me by the call of my country to the station to the duties of which I am about to pledge myself by the most solemn of sanctions .",17,14
