widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,I,1.0,1.0,1.0,PRP,nsubj,4.0,4.0,2.0,4.0,-2.5,1,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume .,19,18
2,should,3.0,1.0,1.0,MD,aux,3.0,3.0,2.0,3.0,-1.75,1,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume .,19,18
3,be,2.0,1.0,1.0,VB,cop,3.0,3.0,2.0,3.0,-1.75,1,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume .,19,18
4,destitute,8.0,3.0,2.0,JJ,root,2.0,2.0,2.0,2.0,-1.0,1,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume .,19,18
5,of,2.0,1.0,1.0,IN,mark,3.0,3.0,2.0,3.0,-1.75,1,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume .,19,18
6,feeling,5.0,2.0,1.0,VBG,advcl,2.0,2.0,2.0,2.0,-1.0,1,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume .,19,18
7,if,2.0,1.0,1.0,IN,mark,3.0,3.0,2.0,3.0,-1.75,1,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume .,19,18
8,I,1.0,1.0,1.0,PRP,nsubj,4.0,4.0,2.0,4.0,-2.5,1,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume .,19,18
9,was,3.0,1.0,1.0,VBD,aux,3.0,3.0,2.0,3.0,-1.75,1,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume .,19,18
10,not,3.0,1.0,1.0,RB,neg,3.0,3.0,2.0,3.0,-1.75,1,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume .,19,18
11,deeply,5.0,2.0,1.0,RB,advmod,2.0,2.0,2.0,2.0,-1.0,1,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume .,19,18
12,affected,7.0,3.0,1.0,JJ,advcl,2.0,2.0,2.0,2.0,-1.0,1,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume .,19,18
13,by,2.0,1.0,1.0,IN,case,4.0,4.0,3.0,4.0,-2.75,1,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume .,19,18
14,the,2.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,1,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume .,19,18
15,strong,5.0,1.0,1.0,JJ,amod,3.0,3.0,3.0,3.0,-2.0,1,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume .,19,18
16,proof,4.0,1.0,1.0,NN,nmod:by,2.0,2.0,2.0,2.0,-1.0,1,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume .,19,18
17,which,3.0,1.0,1.0,WDT,dobj,4.0,4.0,2.0,4.0,-2.5,1,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume .,19,18
18,my,2.0,1.0,1.0,PRP$,nmod:poss,4.0,4.0,4.0,4.0,-3.0,1,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume .,19,18
19,fellow-citizens,,,,NNS,nsubj,2.0,2.0,2.0,2.0,-1.0,1,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume .,19,18
20,have,3.0,1.0,1.0,VBP,aux,3.0,3.0,2.0,3.0,-1.75,1,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume .,19,18
21,given,5.0,2.0,1.0,VBN,ccomp,2.0,2.0,2.0,2.0,-1.0,1,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume .,19,18
22,me,2.0,1.0,1.0,PRP,dobj,5.0,5.0,3.0,5.0,-3.5,1,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume .,19,18
23,of,2.0,1.0,1.0,IN,case,4.0,4.0,3.0,4.0,-2.75,1,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume .,19,18
24,their,3.0,1.0,1.0,PRP$,nmod:poss,4.0,4.0,4.0,4.0,-3.0,1,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume .,19,18
25,confidence,9.0,3.0,1.0,NN,nmod:of,2.0,2.0,2.0,2.0,-1.0,1,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume .,19,18
26,in,2.0,1.0,0.0,IN,mark,3.0,3.0,2.0,3.0,-1.75,1,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume .,19,18
27,calling,5.0,2.0,1.0,VBG,advcl,2.0,2.0,2.0,2.0,-1.0,1,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume .,19,18
28,me,2.0,1.0,1.0,PRP,dobj,4.0,4.0,2.0,4.0,-2.5,1,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume .,19,18
29,to,2.0,1.0,1.0,TO,case,3.0,3.0,3.0,3.0,-2.0,1,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume .,19,18
30,the,2.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,1,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume .,19,18
31,high,2.0,1.0,1.0,JJ,amod,3.0,3.0,3.0,3.0,-2.0,1,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume .,19,18
32,office,4.0,2.0,1.0,NN,nmod:to,2.0,2.0,2.0,2.0,-1.0,1,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume .,19,18
33,whose,3.0,1.0,1.0,WP$,ref,4.0,4.0,3.0,4.0,-2.75,1,I should be destitute of feeling if I was not deeply affected by the strong proof which my fellow-citizens have given me of their confidence in calling me to the high office whose functions I am about to assume .,19,18
