widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,In,2.0,1.0,0.0,IN,case,4.0,4.0,3.0,4.0,-2.75,1,"In compliance with an usage coeval with the existence of our Federal Constitution , and sanctioned by the example of my predecessors in the career upon which I am about to enter , I appear , my fellow-citizens , in your presence and in that of Heaven to bind myself by the solemnities of religious obligation to the faithful performance of the duties allotted to me in the station to which I have been called .",27,24
2,compliance,9.0,3.0,1.0,NN,nmod:in,3.0,3.0,3.0,3.0,-2.0,1,"In compliance with an usage coeval with the existence of our Federal Constitution , and sanctioned by the example of my predecessors in the career upon which I am about to enter , I appear , my fellow-citizens , in your presence and in that of Heaven to bind myself by the solemnities of religious obligation to the faithful performance of the duties allotted to me in the station to which I have been called .",27,24
3,with,3.0,1.0,1.0,IN,case,4.0,4.0,3.0,4.0,-2.75,1,"In compliance with an usage coeval with the existence of our Federal Constitution , and sanctioned by the example of my predecessors in the career upon which I am about to enter , I appear , my fellow-citizens , in your presence and in that of Heaven to bind myself by the solemnities of religious obligation to the faithful performance of the duties allotted to me in the station to which I have been called .",27,24
4,an,2.0,1.0,1.0,DT,det,5.0,5.0,5.0,5.0,-4.0,1,"In compliance with an usage coeval with the existence of our Federal Constitution , and sanctioned by the example of my predecessors in the career upon which I am about to enter , I appear , my fellow-citizens , in your presence and in that of Heaven to bind myself by the solemnities of religious obligation to the faithful performance of the duties allotted to me in the station to which I have been called .",27,24
5,usage,5.0,2.0,1.0,NN,nmod:with,3.0,3.0,3.0,3.0,-2.0,1,"In compliance with an usage coeval with the existence of our Federal Constitution , and sanctioned by the example of my predecessors in the career upon which I am about to enter , I appear , my fellow-citizens , in your presence and in that of Heaven to bind myself by the solemnities of religious obligation to the faithful performance of the duties allotted to me in the station to which I have been called .",27,24
6,coeval,,,,JJ,amod,4.0,4.0,4.0,4.0,-3.0,1,"In compliance with an usage coeval with the existence of our Federal Constitution , and sanctioned by the example of my predecessors in the career upon which I am about to enter , I appear , my fellow-citizens , in your presence and in that of Heaven to bind myself by the solemnities of religious obligation to the faithful performance of the duties allotted to me in the station to which I have been called .",27,24
7,with,3.0,1.0,1.0,IN,case,5.0,5.0,4.0,5.0,-3.75,1,"In compliance with an usage coeval with the existence of our Federal Constitution , and sanctioned by the example of my predecessors in the career upon which I am about to enter , I appear , my fellow-citizens , in your presence and in that of Heaven to bind myself by the solemnities of religious obligation to the faithful performance of the duties allotted to me in the station to which I have been called .",27,24
8,the,2.0,1.0,0.0,DT,det,6.0,6.0,6.0,6.0,-5.0,1,"In compliance with an usage coeval with the existence of our Federal Constitution , and sanctioned by the example of my predecessors in the career upon which I am about to enter , I appear , my fellow-citizens , in your presence and in that of Heaven to bind myself by the solemnities of religious obligation to the faithful performance of the duties allotted to me in the station to which I have been called .",27,24
9,existence,9.0,3.0,1.0,NN,nmod:with,4.0,4.0,4.0,4.0,-3.0,1,"In compliance with an usage coeval with the existence of our Federal Constitution , and sanctioned by the example of my predecessors in the career upon which I am about to enter , I appear , my fellow-citizens , in your presence and in that of Heaven to bind myself by the solemnities of religious obligation to the faithful performance of the duties allotted to me in the station to which I have been called .",27,24
10,of,2.0,1.0,1.0,IN,case,5.0,5.0,4.0,5.0,-3.75,1,"In compliance with an usage coeval with the existence of our Federal Constitution , and sanctioned by the example of my predecessors in the career upon which I am about to enter , I appear , my fellow-citizens , in your presence and in that of Heaven to bind myself by the solemnities of religious obligation to the faithful performance of the duties allotted to me in the station to which I have been called .",27,24
11,our,2.0,2.0,1.0,PRP$,nmod:poss,5.0,5.0,5.0,5.0,-4.0,1,"In compliance with an usage coeval with the existence of our Federal Constitution , and sanctioned by the example of my predecessors in the career upon which I am about to enter , I appear , my fellow-citizens , in your presence and in that of Heaven to bind myself by the solemnities of religious obligation to the faithful performance of the duties allotted to me in the station to which I have been called .",27,24
12,Federal,6.0,3.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,-2.0,1,"In compliance with an usage coeval with the existence of our Federal Constitution , and sanctioned by the example of my predecessors in the career upon which I am about to enter , I appear , my fellow-citizens , in your presence and in that of Heaven to bind myself by the solemnities of religious obligation to the faithful performance of the duties allotted to me in the station to which I have been called .",27,24
13,Constitution,11.0,4.0,2.0,NNP,nmod:of,4.0,4.0,4.0,4.0,-3.0,1,"In compliance with an usage coeval with the existence of our Federal Constitution , and sanctioned by the example of my predecessors in the career upon which I am about to enter , I appear , my fellow-citizens , in your presence and in that of Heaven to bind myself by the solemnities of religious obligation to the faithful performance of the duties allotted to me in the station to which I have been called .",27,24
14,",",,,,",",,,,,,,1,"In compliance with an usage coeval with the existence of our Federal Constitution , and sanctioned by the example of my predecessors in the career upon which I am about to enter , I appear , my fellow-citizens , in your presence and in that of Heaven to bind myself by the solemnities of religious obligation to the faithful performance of the duties allotted to me in the station to which I have been called .",27,24
15,and,3.0,1.0,1.0,CC,cc,4.0,4.0,4.0,4.0,-3.0,1,"In compliance with an usage coeval with the existence of our Federal Constitution , and sanctioned by the example of my predecessors in the career upon which I am about to enter , I appear , my fellow-citizens , in your presence and in that of Heaven to bind myself by the solemnities of religious obligation to the faithful performance of the duties allotted to me in the station to which I have been called .",27,24
16,sanctioned,8.0,2.0,1.0,VBN,amod,3.0,3.0,3.0,3.0,-2.0,1,"In compliance with an usage coeval with the existence of our Federal Constitution , and sanctioned by the example of my predecessors in the career upon which I am about to enter , I appear , my fellow-citizens , in your presence and in that of Heaven to bind myself by the solemnities of religious obligation to the faithful performance of the duties allotted to me in the station to which I have been called .",27,24
17,by,2.0,1.0,1.0,IN,case,5.0,5.0,4.0,5.0,-3.75,1,"In compliance with an usage coeval with the existence of our Federal Constitution , and sanctioned by the example of my predecessors in the career upon which I am about to enter , I appear , my fellow-citizens , in your presence and in that of Heaven to bind myself by the solemnities of religious obligation to the faithful performance of the duties allotted to me in the station to which I have been called .",27,24
18,the,2.0,1.0,0.0,DT,det,6.0,6.0,6.0,6.0,-5.0,1,"In compliance with an usage coeval with the existence of our Federal Constitution , and sanctioned by the example of my predecessors in the career upon which I am about to enter , I appear , my fellow-citizens , in your presence and in that of Heaven to bind myself by the solemnities of religious obligation to the faithful performance of the duties allotted to me in the station to which I have been called .",27,24
19,example,8.0,3.0,1.0,NN,nmod:by,4.0,4.0,4.0,4.0,-3.0,1,"In compliance with an usage coeval with the existence of our Federal Constitution , and sanctioned by the example of my predecessors in the career upon which I am about to enter , I appear , my fellow-citizens , in your presence and in that of Heaven to bind myself by the solemnities of religious obligation to the faithful performance of the duties allotted to me in the station to which I have been called .",27,24
20,of,2.0,1.0,1.0,IN,case,5.0,5.0,4.0,5.0,-3.75,1,"In compliance with an usage coeval with the existence of our Federal Constitution , and sanctioned by the example of my predecessors in the career upon which I am about to enter , I appear , my fellow-citizens , in your presence and in that of Heaven to bind myself by the solemnities of religious obligation to the faithful performance of the duties allotted to me in the station to which I have been called .",27,24
21,my,2.0,1.0,1.0,PRP$,nmod:poss,6.0,6.0,6.0,6.0,-5.0,1,"In compliance with an usage coeval with the existence of our Federal Constitution , and sanctioned by the example of my predecessors in the career upon which I am about to enter , I appear , my fellow-citizens , in your presence and in that of Heaven to bind myself by the solemnities of religious obligation to the faithful performance of the duties allotted to me in the station to which I have been called .",27,24
22,predecessors,10.0,4.0,2.0,NNS,nmod:of,4.0,4.0,4.0,4.0,-3.0,1,"In compliance with an usage coeval with the existence of our Federal Constitution , and sanctioned by the example of my predecessors in the career upon which I am about to enter , I appear , my fellow-citizens , in your presence and in that of Heaven to bind myself by the solemnities of religious obligation to the faithful performance of the duties allotted to me in the station to which I have been called .",27,24
23,in,2.0,1.0,0.0,IN,case,5.0,5.0,4.0,5.0,-3.75,1,"In compliance with an usage coeval with the existence of our Federal Constitution , and sanctioned by the example of my predecessors in the career upon which I am about to enter , I appear , my fellow-citizens , in your presence and in that of Heaven to bind myself by the solemnities of religious obligation to the faithful performance of the duties allotted to me in the station to which I have been called .",27,24
24,the,2.0,1.0,0.0,DT,det,5.0,5.0,5.0,5.0,-4.0,1,"In compliance with an usage coeval with the existence of our Federal Constitution , and sanctioned by the example of my predecessors in the career upon which I am about to enter , I appear , my fellow-citizens , in your presence and in that of Heaven to bind myself by the solemnities of religious obligation to the faithful performance of the duties allotted to me in the station to which I have been called .",27,24
25,career,4.0,2.0,1.0,NN,nmod:in,3.0,3.0,3.0,3.0,-2.0,1,"In compliance with an usage coeval with the existence of our Federal Constitution , and sanctioned by the example of my predecessors in the career upon which I am about to enter , I appear , my fellow-citizens , in your presence and in that of Heaven to bind myself by the solemnities of religious obligation to the faithful performance of the duties allotted to me in the station to which I have been called .",27,24
26,upon,4.0,2.0,1.0,IN,mark,4.0,4.0,4.0,4.0,-3.0,1,"In compliance with an usage coeval with the existence of our Federal Constitution , and sanctioned by the example of my predecessors in the career upon which I am about to enter , I appear , my fellow-citizens , in your presence and in that of Heaven to bind myself by the solemnities of religious obligation to the faithful performance of the duties allotted to me in the station to which I have been called .",27,24
27,which,3.0,1.0,1.0,WDT,dobj,5.0,5.0,3.0,5.0,-3.5,1,"In compliance with an usage coeval with the existence of our Federal Constitution , and sanctioned by the example of my predecessors in the career upon which I am about to enter , I appear , my fellow-citizens , in your presence and in that of Heaven to bind myself by the solemnities of religious obligation to the faithful performance of the duties allotted to me in the station to which I have been called .",27,24
28,I,1.0,1.0,1.0,PRP,nsubj,5.0,5.0,3.0,5.0,-3.5,1,"In compliance with an usage coeval with the existence of our Federal Constitution , and sanctioned by the example of my predecessors in the career upon which I am about to enter , I appear , my fellow-citizens , in your presence and in that of Heaven to bind myself by the solemnities of religious obligation to the faithful performance of the duties allotted to me in the station to which I have been called .",27,24
29,am,2.0,1.0,1.0,VBP,aux,4.0,4.0,3.0,4.0,-2.75,1,"In compliance with an usage coeval with the existence of our Federal Constitution , and sanctioned by the example of my predecessors in the career upon which I am about to enter , I appear , my fellow-citizens , in your presence and in that of Heaven to bind myself by the solemnities of religious obligation to the faithful performance of the duties allotted to me in the station to which I have been called .",27,24
