widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,Fellow-Citizens,,,,NNS,root,1.0,1.0,1.0,1.0,0.0,1,Fellow-Citizens :,0,0
2,:,,,,:,,,,,,,1,Fellow-Citizens :,0,0
1,About,4.0,2.0,1.0,IN,case,4.0,4.0,4.0,4.0,-3.0,2,"About to undertake the arduous duties that I have been appointed to perform by the choice of a free people , I avail myself of this customary and solemn occasion to express the gratitude which their confidence inspires and to acknowledge the accountability which my situation enjoins .",13,11
2,to,2.0,1.0,1.0,TO,mark,4.0,4.0,4.0,4.0,-3.0,2,"About to undertake the arduous duties that I have been appointed to perform by the choice of a free people , I avail myself of this customary and solemn occasion to express the gratitude which their confidence inspires and to acknowledge the accountability which my situation enjoins .",13,11
3,undertake,7.0,3.0,2.0,VB,advcl:about,3.0,3.0,3.0,3.0,-2.0,2,"About to undertake the arduous duties that I have been appointed to perform by the choice of a free people , I avail myself of this customary and solemn occasion to express the gratitude which their confidence inspires and to acknowledge the accountability which my situation enjoins .",13,11
4,the,2.0,1.0,0.0,DT,det,5.0,5.0,5.0,5.0,-4.0,2,"About to undertake the arduous duties that I have been appointed to perform by the choice of a free people , I avail myself of this customary and solemn occasion to express the gratitude which their confidence inspires and to acknowledge the accountability which my situation enjoins .",13,11
5,arduous,6.0,3.0,1.0,JJ,amod,4.0,4.0,4.0,4.0,-3.0,2,"About to undertake the arduous duties that I have been appointed to perform by the choice of a free people , I avail myself of this customary and solemn occasion to express the gratitude which their confidence inspires and to acknowledge the accountability which my situation enjoins .",13,11
6,duties,5.0,2.0,1.0,NNS,dobj,3.0,3.0,3.0,3.0,-2.0,2,"About to undertake the arduous duties that I have been appointed to perform by the choice of a free people , I avail myself of this customary and solemn occasion to express the gratitude which their confidence inspires and to acknowledge the accountability which my situation enjoins .",13,11
7,that,3.0,1.0,1.0,IN,mark,4.0,4.0,3.0,4.0,-2.75,2,"About to undertake the arduous duties that I have been appointed to perform by the choice of a free people , I avail myself of this customary and solemn occasion to express the gratitude which their confidence inspires and to acknowledge the accountability which my situation enjoins .",13,11
8,I,1.0,1.0,1.0,PRP,nsubjpass,5.0,5.0,3.0,5.0,-3.5,2,"About to undertake the arduous duties that I have been appointed to perform by the choice of a free people , I avail myself of this customary and solemn occasion to express the gratitude which their confidence inspires and to acknowledge the accountability which my situation enjoins .",13,11
