widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,Fellow-Citizens,,,,NNS,root,1.0,1.0,1.0,1.0,0.0,1,Fellow-Citizens :,0,0
2,:,,,,:,,,,,,,1,Fellow-Citizens :,0,0
1,The,2.0,1.0,0.0,DT,det,5.0,5.0,5.0,5.0,-4.0,2,The practice of all my predecessors imposes on me an obligation I cheerfully fulfill --,5,5
2,practice,7.0,2.0,1.0,NN,nsubj,3.0,3.0,3.0,3.0,-2.0,2,The practice of all my predecessors imposes on me an obligation I cheerfully fulfill --,5,5
3,of,2.0,1.0,1.0,IN,case,4.0,4.0,3.0,4.0,-2.75,2,The practice of all my predecessors imposes on me an obligation I cheerfully fulfill --,5,5
4,all,2.0,1.0,1.0,PDT,det:predet,4.0,4.0,3.0,4.0,-2.75,2,The practice of all my predecessors imposes on me an obligation I cheerfully fulfill --,5,5
5,my,2.0,1.0,1.0,PRP$,nmod:poss,4.0,4.0,4.0,4.0,-3.0,2,The practice of all my predecessors imposes on me an obligation I cheerfully fulfill --,5,5
6,predecessors,10.0,4.0,2.0,NNS,nmod:of,2.0,2.0,2.0,2.0,-1.0,2,The practice of all my predecessors imposes on me an obligation I cheerfully fulfill --,5,5
7,imposes,7.0,3.0,1.0,VBZ,root,2.0,2.0,2.0,2.0,-1.0,2,The practice of all my predecessors imposes on me an obligation I cheerfully fulfill --,5,5
8,on,2.0,1.0,1.0,IN,case,4.0,4.0,3.0,4.0,-2.75,2,The practice of all my predecessors imposes on me an obligation I cheerfully fulfill --,5,5
9,me,2.0,1.0,1.0,PRP,nmod:on,5.0,5.0,2.0,5.0,-3.25,2,The practice of all my predecessors imposes on me an obligation I cheerfully fulfill --,5,5
10,an,2.0,1.0,1.0,DT,det,4.0,4.0,4.0,4.0,-3.0,2,The practice of all my predecessors imposes on me an obligation I cheerfully fulfill --,5,5
11,obligation,9.0,4.0,2.0,NN,dobj,2.0,2.0,2.0,2.0,-1.0,2,The practice of all my predecessors imposes on me an obligation I cheerfully fulfill --,5,5
