widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,Fellow-Citizens,,,,NNS,root,1.0,1.0,1.0,1.0,0.0,1,Fellow-Citizens :,0,0
2,:,,,,:,,,,,,,1,Fellow-Citizens :,0,0
1,Without,5.0,2.0,1.0,IN,case,4.0,4.0,4.0,4.0,-3.0,2,"Without solicitation on my part , I have been chosen by the free and voluntary suffrages of my countrymen to the most honorable and most responsible office on earth .",8,7
2,solicitation,11.0,5.0,2.0,NN,nmod:without,3.0,3.0,3.0,3.0,-2.0,2,"Without solicitation on my part , I have been chosen by the free and voluntary suffrages of my countrymen to the most honorable and most responsible office on earth .",8,7
3,on,2.0,1.0,1.0,IN,case,4.0,4.0,3.0,4.0,-2.75,2,"Without solicitation on my part , I have been chosen by the free and voluntary suffrages of my countrymen to the most honorable and most responsible office on earth .",8,7
4,my,2.0,1.0,1.0,PRP$,nmod:poss,4.0,4.0,4.0,4.0,-3.0,2,"Without solicitation on my part , I have been chosen by the free and voluntary suffrages of my countrymen to the most honorable and most responsible office on earth .",8,7
5,part,4.0,1.0,1.0,NN,nmod:on,2.0,2.0,2.0,2.0,-1.0,2,"Without solicitation on my part , I have been chosen by the free and voluntary suffrages of my countrymen to the most honorable and most responsible office on earth .",8,7
6,",",,,,",",,,,,,,2,"Without solicitation on my part , I have been chosen by the free and voluntary suffrages of my countrymen to the most honorable and most responsible office on earth .",8,7
7,I,1.0,1.0,1.0,PRP,nsubjpass,4.0,4.0,2.0,4.0,-2.5,2,"Without solicitation on my part , I have been chosen by the free and voluntary suffrages of my countrymen to the most honorable and most responsible office on earth .",8,7
8,have,3.0,1.0,1.0,VBP,aux,3.0,3.0,2.0,3.0,-1.75,2,"Without solicitation on my part , I have been chosen by the free and voluntary suffrages of my countrymen to the most honorable and most responsible office on earth .",8,7
9,been,3.0,1.0,1.0,VBN,auxpass,3.0,3.0,2.0,3.0,-1.75,2,"Without solicitation on my part , I have been chosen by the free and voluntary suffrages of my countrymen to the most honorable and most responsible office on earth .",8,7
