widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,Elected,7.0,3.0,1.0,VBN,advcl,3.0,3.0,3.0,3.0,-2.0,1,"Elected by the American people to the highest office known to our laws , I appear here to take the oath prescribed by the Constitution , and , in compliance with a time-honored custom , to address those who are now assembled .",8,8
2,by,2.0,1.0,1.0,IN,case,5.0,5.0,4.0,5.0,-3.75,1,"Elected by the American people to the highest office known to our laws , I appear here to take the oath prescribed by the Constitution , and , in compliance with a time-honored custom , to address those who are now assembled .",8,8
3,the,2.0,1.0,0.0,DT,det,5.0,5.0,5.0,5.0,-4.0,1,"Elected by the American people to the highest office known to our laws , I appear here to take the oath prescribed by the Constitution , and , in compliance with a time-honored custom , to address those who are now assembled .",8,8
4,American,8.0,4.0,1.0,JJ,amod,4.0,4.0,4.0,4.0,-3.0,1,"Elected by the American people to the highest office known to our laws , I appear here to take the oath prescribed by the Constitution , and , in compliance with a time-honored custom , to address those who are now assembled .",8,8
5,people,5.0,2.0,1.0,NNS,nmod:by,3.0,3.0,3.0,3.0,-2.0,1,"Elected by the American people to the highest office known to our laws , I appear here to take the oath prescribed by the Constitution , and , in compliance with a time-honored custom , to address those who are now assembled .",8,8
6,to,2.0,1.0,1.0,TO,case,4.0,4.0,4.0,4.0,-3.0,1,"Elected by the American people to the highest office known to our laws , I appear here to take the oath prescribed by the Constitution , and , in compliance with a time-honored custom , to address those who are now assembled .",8,8
7,the,2.0,1.0,0.0,DT,det,5.0,5.0,5.0,5.0,-4.0,1,"Elected by the American people to the highest office known to our laws , I appear here to take the oath prescribed by the Constitution , and , in compliance with a time-honored custom , to address those who are now assembled .",8,8
8,highest,5.0,2.0,1.0,JJS,amod,4.0,4.0,4.0,4.0,-3.0,1,"Elected by the American people to the highest office known to our laws , I appear here to take the oath prescribed by the Constitution , and , in compliance with a time-honored custom , to address those who are now assembled .",8,8
9,office,4.0,2.0,1.0,NN,nmod:to,3.0,3.0,3.0,3.0,-2.0,1,"Elected by the American people to the highest office known to our laws , I appear here to take the oath prescribed by the Constitution , and , in compliance with a time-honored custom , to address those who are now assembled .",8,8
10,known,3.0,1.0,1.0,VBN,acl,3.0,3.0,3.0,3.0,-2.0,1,"Elected by the American people to the highest office known to our laws , I appear here to take the oath prescribed by the Constitution , and , in compliance with a time-honored custom , to address those who are now assembled .",8,8
