widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,My,2.0,1.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,1,My Countrymen :,0,0
2,Countrymen,9.0,3.0,1.0,NNP,root,1.0,1.0,1.0,1.0,0.0,1,My Countrymen :,0,0
3,:,,,,:,,,,,,,1,My Countrymen :,0,0
1,It,2.0,1.0,1.0,PRP,nsubj,4.0,4.0,4.0,4.0,-3.0,2,It is a relief to feel that no heart but my own can know the personal regret and bitter sorrow over which I have been borne to a position so suitable for others rather than desirable for myself .,12,10
2,is,2.0,1.0,1.0,VBZ,cop,3.0,3.0,2.0,3.0,-1.75,2,It is a relief to feel that no heart but my own can know the personal regret and bitter sorrow over which I have been borne to a position so suitable for others rather than desirable for myself .,12,10
3,a,1.0,1.0,0.0,DT,det,3.0,3.0,3.0,3.0,-2.0,2,It is a relief to feel that no heart but my own can know the personal regret and bitter sorrow over which I have been borne to a position so suitable for others rather than desirable for myself .,12,10
4,relief,5.0,2.0,1.0,NN,root,2.0,2.0,2.0,2.0,-1.0,2,It is a relief to feel that no heart but my own can know the personal regret and bitter sorrow over which I have been borne to a position so suitable for others rather than desirable for myself .,12,10
5,to,2.0,1.0,1.0,TO,mark,3.0,3.0,3.0,3.0,-2.0,2,It is a relief to feel that no heart but my own can know the personal regret and bitter sorrow over which I have been borne to a position so suitable for others rather than desirable for myself .,12,10
6,feel,3.0,1.0,1.0,VB,acl,2.0,2.0,2.0,2.0,-1.0,2,It is a relief to feel that no heart but my own can know the personal regret and bitter sorrow over which I have been borne to a position so suitable for others rather than desirable for myself .,12,10
7,that,3.0,1.0,1.0,IN,mark,3.0,3.0,2.0,3.0,-1.75,2,It is a relief to feel that no heart but my own can know the personal regret and bitter sorrow over which I have been borne to a position so suitable for others rather than desirable for myself .,12,10
8,no,2.0,1.0,1.0,DT,neg,5.0,5.0,5.0,5.0,-4.0,2,It is a relief to feel that no heart but my own can know the personal regret and bitter sorrow over which I have been borne to a position so suitable for others rather than desirable for myself .,12,10
9,heart,4.0,1.0,1.0,NN,nsubj,3.0,3.0,3.0,3.0,-2.0,2,It is a relief to feel that no heart but my own can know the personal regret and bitter sorrow over which I have been borne to a position so suitable for others rather than desirable for myself .,12,10
10,but,3.0,1.0,1.0,CC,case,4.0,4.0,4.0,4.0,-3.0,2,It is a relief to feel that no heart but my own can know the personal regret and bitter sorrow over which I have been borne to a position so suitable for others rather than desirable for myself .,12,10
11,my,2.0,1.0,1.0,PRP$,nmod:poss,4.0,4.0,4.0,4.0,-3.0,2,It is a relief to feel that no heart but my own can know the personal regret and bitter sorrow over which I have been borne to a position so suitable for others rather than desirable for myself .,12,10
12,own,2.0,1.0,1.0,JJ,nmod:but,2.0,2.0,2.0,2.0,-1.0,2,It is a relief to feel that no heart but my own can know the personal regret and bitter sorrow over which I have been borne to a position so suitable for others rather than desirable for myself .,12,10
13,can,3.0,1.0,1.0,MD,aux,3.0,3.0,2.0,3.0,-1.75,2,It is a relief to feel that no heart but my own can know the personal regret and bitter sorrow over which I have been borne to a position so suitable for others rather than desirable for myself .,12,10
14,know,2.0,1.0,1.0,VB,ccomp,3.0,3.0,3.0,3.0,-2.0,2,It is a relief to feel that no heart but my own can know the personal regret and bitter sorrow over which I have been borne to a position so suitable for others rather than desirable for myself .,12,10
15,the,2.0,1.0,0.0,DT,det,5.0,5.0,5.0,5.0,-4.0,2,It is a relief to feel that no heart but my own can know the personal regret and bitter sorrow over which I have been borne to a position so suitable for others rather than desirable for myself .,12,10
16,personal,7.0,3.0,1.0,JJ,amod,4.0,4.0,4.0,4.0,-3.0,2,It is a relief to feel that no heart but my own can know the personal regret and bitter sorrow over which I have been borne to a position so suitable for others rather than desirable for myself .,12,10
17,regret,6.0,2.0,1.0,NN,dobj,4.0,4.0,4.0,4.0,-3.0,2,It is a relief to feel that no heart but my own can know the personal regret and bitter sorrow over which I have been borne to a position so suitable for others rather than desirable for myself .,12,10
18,and,3.0,1.0,1.0,CC,cc,5.0,5.0,5.0,5.0,-4.0,2,It is a relief to feel that no heart but my own can know the personal regret and bitter sorrow over which I have been borne to a position so suitable for others rather than desirable for myself .,12,10
19,bitter,4.0,2.0,1.0,JJ,amod,4.0,4.0,4.0,4.0,-3.0,2,It is a relief to feel that no heart but my own can know the personal regret and bitter sorrow over which I have been borne to a position so suitable for others rather than desirable for myself .,12,10
