widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,Fellow-Citizens,,,,NNS,root,1.0,1.0,1.0,1.0,0.0,1,Fellow-Citizens :,0,0
2,:,,,,:,,,,,,,1,Fellow-Citizens :,0,0
1,I,1.0,1.0,1.0,PRP,nsubj,4.0,4.0,2.0,4.0,-2.5,2,"I appear before you this day to take the solemn oath `` that I will faithfully execute the office of President of the United States and will to the best of my ability preserve , protect , and defend the Constitution of the United States . ''",12,11
2,appear,4.0,2.0,1.0,VBP,root,3.0,3.0,3.0,3.0,-2.0,2,"I appear before you this day to take the solemn oath `` that I will faithfully execute the office of President of the United States and will to the best of my ability preserve , protect , and defend the Constitution of the United States . ''",12,11
3,before,5.0,2.0,1.0,IN,case,5.0,5.0,5.0,5.0,-4.0,2,"I appear before you this day to take the solemn oath `` that I will faithfully execute the office of President of the United States and will to the best of my ability preserve , protect , and defend the Constitution of the United States . ''",12,11
4,you,2.0,1.0,1.0,PRP,nmod:before,6.0,6.0,3.0,6.0,-4.25,2,"I appear before you this day to take the solemn oath `` that I will faithfully execute the office of President of the United States and will to the best of my ability preserve , protect , and defend the Constitution of the United States . ''",12,11
5,this,3.0,1.0,1.0,DT,det,5.0,5.0,4.0,5.0,-3.75,2,"I appear before you this day to take the solemn oath `` that I will faithfully execute the office of President of the United States and will to the best of my ability preserve , protect , and defend the Constitution of the United States . ''",12,11
6,day,2.0,1.0,1.0,NN,nmod:tmod,3.0,3.0,3.0,3.0,-2.0,2,"I appear before you this day to take the solemn oath `` that I will faithfully execute the office of President of the United States and will to the best of my ability preserve , protect , and defend the Constitution of the United States . ''",12,11
7,to,2.0,1.0,1.0,TO,mark,4.0,4.0,4.0,4.0,-3.0,2,"I appear before you this day to take the solemn oath `` that I will faithfully execute the office of President of the United States and will to the best of my ability preserve , protect , and defend the Constitution of the United States . ''",12,11
8,take,3.0,1.0,1.0,VB,advcl,3.0,3.0,3.0,3.0,-2.0,2,"I appear before you this day to take the solemn oath `` that I will faithfully execute the office of President of the United States and will to the best of my ability preserve , protect , and defend the Constitution of the United States . ''",12,11
