widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,Fellow-Citizens,,,,NNS,root,2.0,2.0,2.0,2.0,-1.0,1,Fellow-Citizens of the United States :,1,1
2,of,2.0,1.0,1.0,IN,case,3.0,3.0,2.0,3.0,-1.75,1,Fellow-Citizens of the United States :,1,1
3,the,2.0,1.0,0.0,DT,det,3.0,3.0,3.0,3.0,-2.0,1,Fellow-Citizens of the United States :,1,1
4,United,7.0,3.0,1.0,NNP,compound,1.0,1.0,1.0,1.0,0.0,1,Fellow-Citizens of the United States :,1,1
5,States,5.0,1.0,1.0,NNPS,nmod:of,2.0,2.0,2.0,2.0,-1.0,1,Fellow-Citizens of the United States :,1,1
6,:,,,,:,,,,,,,1,Fellow-Citizens of the United States :,1,1
1,In,2.0,1.0,0.0,IN,case,4.0,4.0,3.0,4.0,-2.75,2,"In compliance with a custom as old as the Government itself , I appear before you to address you briefly and to take in your presence the oath prescribed by the Constitution of the United States to be taken by the President `` before he enters on the execution of this office . ''",18,15
2,compliance,9.0,3.0,1.0,NN,nmod:in,3.0,3.0,3.0,3.0,-2.0,2,"In compliance with a custom as old as the Government itself , I appear before you to address you briefly and to take in your presence the oath prescribed by the Constitution of the United States to be taken by the President `` before he enters on the execution of this office . ''",18,15
3,with,3.0,1.0,1.0,IN,case,4.0,4.0,3.0,4.0,-2.75,2,"In compliance with a custom as old as the Government itself , I appear before you to address you briefly and to take in your presence the oath prescribed by the Constitution of the United States to be taken by the President `` before he enters on the execution of this office . ''",18,15
4,a,1.0,1.0,0.0,DT,det,5.0,5.0,5.0,5.0,-4.0,2,"In compliance with a custom as old as the Government itself , I appear before you to address you briefly and to take in your presence the oath prescribed by the Constitution of the United States to be taken by the President `` before he enters on the execution of this office . ''",18,15
5,custom,6.0,2.0,1.0,NN,nmod:with,3.0,3.0,3.0,3.0,-2.0,2,"In compliance with a custom as old as the Government itself , I appear before you to address you briefly and to take in your presence the oath prescribed by the Constitution of the United States to be taken by the President `` before he enters on the execution of this office . ''",18,15
