widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,Fellow-Citizens,,,,NNS,root,1.0,1.0,1.0,1.0,0.0,1,Fellow-Citizens :,0,0
2,:,,,,:,,,,,,,1,Fellow-Citizens :,0,0
1,We,2.0,1.0,1.0,PRP,nsubj,4.0,4.0,2.0,4.0,-2.5,2,"We have assembled to repeat the public ceremonial , begun by Washington , observed by all my predecessors , and now a time-honored custom , which marks the commencement of a new term of the Presidential office .",8,8
2,have,3.0,1.0,1.0,VBP,aux,3.0,3.0,2.0,3.0,-1.75,2,"We have assembled to repeat the public ceremonial , begun by Washington , observed by all my predecessors , and now a time-honored custom , which marks the commencement of a new term of the Presidential office .",8,8
3,assembled,8.0,3.0,1.0,VBN,root,2.0,2.0,2.0,2.0,-1.0,2,"We have assembled to repeat the public ceremonial , begun by Washington , observed by all my predecessors , and now a time-honored custom , which marks the commencement of a new term of the Presidential office .",8,8
4,to,2.0,1.0,1.0,TO,mark,3.0,3.0,3.0,3.0,-2.0,2,"We have assembled to repeat the public ceremonial , begun by Washington , observed by all my predecessors , and now a time-honored custom , which marks the commencement of a new term of the Presidential office .",8,8
5,repeat,5.0,2.0,1.0,VB,xcomp,2.0,2.0,2.0,2.0,-1.0,2,"We have assembled to repeat the public ceremonial , begun by Washington , observed by all my predecessors , and now a time-honored custom , which marks the commencement of a new term of the Presidential office .",8,8
6,the,2.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,2,"We have assembled to repeat the public ceremonial , begun by Washington , observed by all my predecessors , and now a time-honored custom , which marks the commencement of a new term of the Presidential office .",8,8
7,public,6.0,2.0,1.0,JJ,amod,3.0,3.0,3.0,3.0,-2.0,2,"We have assembled to repeat the public ceremonial , begun by Washington , observed by all my predecessors , and now a time-honored custom , which marks the commencement of a new term of the Presidential office .",8,8
8,ceremonial,10.0,5.0,2.0,NN,dobj,2.0,2.0,2.0,2.0,-1.0,2,"We have assembled to repeat the public ceremonial , begun by Washington , observed by all my predecessors , and now a time-honored custom , which marks the commencement of a new term of the Presidential office .",8,8
