widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,Fellow-Citizens,,,,NNS,root,1.0,1.0,1.0,1.0,0.0,1,Fellow-Citizens :,0,0
2,:,,,,:,,,,,,,1,Fellow-Citizens :,0,0
1,We,2.0,1.0,1.0,PRP,nsubj,4.0,4.0,2.0,4.0,-2.5,2,We stand to-day upon an eminence which overlooks a hundred years of national life --,4,3
2,stand,5.0,1.0,1.0,VBP,root,2.0,2.0,2.0,2.0,-1.0,2,We stand to-day upon an eminence which overlooks a hundred years of national life --,4,3
3,to-day,,,,NN,dobj,2.0,2.0,2.0,2.0,-1.0,2,We stand to-day upon an eminence which overlooks a hundred years of national life --,4,3
4,upon,4.0,2.0,1.0,IN,case,3.0,3.0,3.0,3.0,-2.0,2,We stand to-day upon an eminence which overlooks a hundred years of national life --,4,3
5,an,2.0,1.0,1.0,DT,det,4.0,4.0,4.0,4.0,-3.0,2,We stand to-day upon an eminence which overlooks a hundred years of national life --,4,3
6,eminence,7.0,3.0,1.0,NN,nmod:upon,2.0,2.0,2.0,2.0,-1.0,2,We stand to-day upon an eminence which overlooks a hundred years of national life --,4,3
7,which,3.0,1.0,1.0,WDT,ref,4.0,4.0,2.0,4.0,-2.5,2,We stand to-day upon an eminence which overlooks a hundred years of national life --,4,3
8,overlooks,7.0,3.0,2.0,VBZ,acl:relcl,2.0,2.0,2.0,2.0,-1.0,2,We stand to-day upon an eminence which overlooks a hundred years of national life --,4,3
9,a,1.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,2,We stand to-day upon an eminence which overlooks a hundred years of national life --,4,3
10,hundred,7.0,2.0,1.0,CD,nummod,3.0,3.0,3.0,3.0,-2.0,2,We stand to-day upon an eminence which overlooks a hundred years of national life --,4,3
11,years,4.0,1.0,1.0,NNS,dobj,2.0,2.0,2.0,2.0,-1.0,2,We stand to-day upon an eminence which overlooks a hundred years of national life --,4,3
12,of,2.0,1.0,1.0,IN,case,3.0,3.0,2.0,3.0,-1.75,2,We stand to-day upon an eminence which overlooks a hundred years of national life --,4,3
