widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,Fellow-Citizens,,,,NNS,root,1.0,1.0,1.0,1.0,0.0,1,Fellow-Citizens :,0,0
2,:,,,,:,,,,,,,1,Fellow-Citizens :,0,0
1,There,3.0,1.0,1.0,EX,expl,5.0,5.0,5.0,5.0,-4.0,2,"There is no constitutional or legal requirement that the President shall take the oath of office in the presence of the people , but there is so manifest an appropriateness in the public induction to office of the chief executive officer of the nation that from the beginning of the Government the people , to whose service the official oath consecrates the officer , have been called to witness the solemn ceremonial .",14,14
2,is,2.0,1.0,1.0,VBZ,root,3.0,3.0,3.0,3.0,-2.0,2,"There is no constitutional or legal requirement that the President shall take the oath of office in the presence of the people , but there is so manifest an appropriateness in the public induction to office of the chief executive officer of the nation that from the beginning of the Government the people , to whose service the official oath consecrates the officer , have been called to witness the solemn ceremonial .",14,14
3,no,2.0,1.0,1.0,DT,neg,5.0,5.0,5.0,5.0,-4.0,2,"There is no constitutional or legal requirement that the President shall take the oath of office in the presence of the people , but there is so manifest an appropriateness in the public induction to office of the chief executive officer of the nation that from the beginning of the Government the people , to whose service the official oath consecrates the officer , have been called to witness the solemn ceremonial .",14,14
4,constitutional,13.0,5.0,2.0,JJ,amod,4.0,4.0,4.0,4.0,-3.0,2,"There is no constitutional or legal requirement that the President shall take the oath of office in the presence of the people , but there is so manifest an appropriateness in the public induction to office of the chief executive officer of the nation that from the beginning of the Government the people , to whose service the official oath consecrates the officer , have been called to witness the solemn ceremonial .",14,14
5,or,2.0,1.0,1.0,CC,cc,5.0,5.0,5.0,5.0,-4.0,2,"There is no constitutional or legal requirement that the President shall take the oath of office in the presence of the people , but there is so manifest an appropriateness in the public induction to office of the chief executive officer of the nation that from the beginning of the Government the people , to whose service the official oath consecrates the officer , have been called to witness the solemn ceremonial .",14,14
6,legal,5.0,2.0,1.0,JJ,conj:or,4.0,4.0,4.0,4.0,-3.0,2,"There is no constitutional or legal requirement that the President shall take the oath of office in the presence of the people , but there is so manifest an appropriateness in the public induction to office of the chief executive officer of the nation that from the beginning of the Government the people , to whose service the official oath consecrates the officer , have been called to witness the solemn ceremonial .",14,14
7,requirement,10.0,3.0,1.0,NN,nsubj,3.0,3.0,3.0,3.0,-2.0,2,"There is no constitutional or legal requirement that the President shall take the oath of office in the presence of the people , but there is so manifest an appropriateness in the public induction to office of the chief executive officer of the nation that from the beginning of the Government the people , to whose service the official oath consecrates the officer , have been called to witness the solemn ceremonial .",14,14
8,that,3.0,1.0,1.0,IN,mark,4.0,4.0,3.0,4.0,-2.75,2,"There is no constitutional or legal requirement that the President shall take the oath of office in the presence of the people , but there is so manifest an appropriateness in the public induction to office of the chief executive officer of the nation that from the beginning of the Government the people , to whose service the official oath consecrates the officer , have been called to witness the solemn ceremonial .",14,14
