widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,My,2.0,1.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,1,My Fellow-Citizens :,0,0
2,Fellow-Citizens,,,,NNPS,root,1.0,1.0,1.0,1.0,0.0,1,My Fellow-Citizens :,0,0
3,:,,,,:,,,,,,,1,My Fellow-Citizens :,0,0
1,In,2.0,1.0,0.0,IN,case,4.0,4.0,3.0,4.0,-2.75,2,In obedience of the mandate of my countrymen I am about to dedicate myself to their service under the sanction of a solemn oath .,9,6
2,obedience,8.0,4.0,1.0,NN,nmod:in,3.0,3.0,3.0,3.0,-2.0,2,In obedience of the mandate of my countrymen I am about to dedicate myself to their service under the sanction of a solemn oath .,9,6
3,of,2.0,1.0,1.0,IN,case,4.0,4.0,3.0,4.0,-2.75,2,In obedience of the mandate of my countrymen I am about to dedicate myself to their service under the sanction of a solemn oath .,9,6
4,the,2.0,1.0,0.0,DT,det,5.0,5.0,5.0,5.0,-4.0,2,In obedience of the mandate of my countrymen I am about to dedicate myself to their service under the sanction of a solemn oath .,9,6
5,mandate,6.0,2.0,2.0,NN,nmod:of,3.0,3.0,3.0,3.0,-2.0,2,In obedience of the mandate of my countrymen I am about to dedicate myself to their service under the sanction of a solemn oath .,9,6
6,of,2.0,1.0,1.0,IN,case,4.0,4.0,3.0,4.0,-2.75,2,In obedience of the mandate of my countrymen I am about to dedicate myself to their service under the sanction of a solemn oath .,9,6
7,my,2.0,1.0,1.0,PRP$,nmod:poss,4.0,4.0,4.0,4.0,-3.0,2,In obedience of the mandate of my countrymen I am about to dedicate myself to their service under the sanction of a solemn oath .,9,6
8,countrymen,9.0,3.0,1.0,NNS,nmod:of,2.0,2.0,2.0,2.0,-1.0,2,In obedience of the mandate of my countrymen I am about to dedicate myself to their service under the sanction of a solemn oath .,9,6
9,I,1.0,1.0,1.0,PRP,nsubj,4.0,4.0,2.0,4.0,-2.5,2,In obedience of the mandate of my countrymen I am about to dedicate myself to their service under the sanction of a solemn oath .,9,6
10,am,2.0,1.0,1.0,VBP,aux,3.0,3.0,2.0,3.0,-1.75,2,In obedience of the mandate of my countrymen I am about to dedicate myself to their service under the sanction of a solemn oath .,9,6
11,about,4.0,2.0,1.0,IN,root,3.0,3.0,3.0,3.0,-2.0,2,In obedience of the mandate of my countrymen I am about to dedicate myself to their service under the sanction of a solemn oath .,9,6
12,to,2.0,1.0,1.0,TO,mark,3.0,3.0,3.0,3.0,-2.0,2,In obedience of the mandate of my countrymen I am about to dedicate myself to their service under the sanction of a solemn oath .,9,6
13,dedicate,7.0,3.0,2.0,VB,xcomp,2.0,2.0,2.0,2.0,-1.0,2,In obedience of the mandate of my countrymen I am about to dedicate myself to their service under the sanction of a solemn oath .,9,6
14,myself,6.0,2.0,2.0,PRP,dobj,4.0,4.0,4.0,4.0,-3.0,2,In obedience of the mandate of my countrymen I am about to dedicate myself to their service under the sanction of a solemn oath .,9,6
15,to,2.0,1.0,1.0,TO,case,4.0,4.0,4.0,4.0,-3.0,2,In obedience of the mandate of my countrymen I am about to dedicate myself to their service under the sanction of a solemn oath .,9,6
16,their,3.0,1.0,1.0,PRP$,nmod:poss,4.0,4.0,4.0,4.0,-3.0,2,In obedience of the mandate of my countrymen I am about to dedicate myself to their service under the sanction of a solemn oath .,9,6
17,service,5.0,2.0,1.0,NN,nmod:to,2.0,2.0,2.0,2.0,-1.0,2,In obedience of the mandate of my countrymen I am about to dedicate myself to their service under the sanction of a solemn oath .,9,6
18,under,4.0,2.0,1.0,IN,case,3.0,3.0,3.0,3.0,-2.0,2,In obedience of the mandate of my countrymen I am about to dedicate myself to their service under the sanction of a solemn oath .,9,6
19,the,2.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,2,In obedience of the mandate of my countrymen I am about to dedicate myself to their service under the sanction of a solemn oath .,9,6
20,sanction,7.0,2.0,1.0,NN,nmod:under,2.0,2.0,2.0,2.0,-1.0,2,In obedience of the mandate of my countrymen I am about to dedicate myself to their service under the sanction of a solemn oath .,9,6
21,of,2.0,1.0,1.0,IN,case,3.0,3.0,2.0,3.0,-1.75,2,In obedience of the mandate of my countrymen I am about to dedicate myself to their service under the sanction of a solemn oath .,9,6
22,a,1.0,1.0,0.0,DT,det,3.0,3.0,3.0,3.0,-2.0,2,In obedience of the mandate of my countrymen I am about to dedicate myself to their service under the sanction of a solemn oath .,9,6
23,solemn,5.0,2.0,1.0,NN,compound,1.0,1.0,1.0,1.0,0.0,2,In obedience of the mandate of my countrymen I am about to dedicate myself to their service under the sanction of a solemn oath .,9,6
24,oath,2.0,1.0,1.0,NN,nmod:of,2.0,2.0,2.0,2.0,-1.0,2,In obedience of the mandate of my countrymen I am about to dedicate myself to their service under the sanction of a solemn oath .,9,6
25,.,,,,.,,,,,,,2,In obedience of the mandate of my countrymen I am about to dedicate myself to their service under the sanction of a solemn oath .,9,6
1,Deeply,5.0,2.0,1.0,NNP,nsubj,3.0,3.0,3.0,3.0,-2.0,3,"Deeply moved by the expression of confidence and personal attachment which has called me to this service , I am sure my gratitude can make no better return than the pledge I now give before God and these witnesses of unreserved and complete devotion to the interests and welfare of those who have honored me .",19,18
2,moved,4.0,1.0,1.0,VBD,ccomp,3.0,3.0,3.0,3.0,-2.0,3,"Deeply moved by the expression of confidence and personal attachment which has called me to this service , I am sure my gratitude can make no better return than the pledge I now give before God and these witnesses of unreserved and complete devotion to the interests and welfare of those who have honored me .",19,18
