widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,My,2.0,1.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,1,My Fellow-Citizens :,0,0
2,Fellow-Citizens,,,,NNPS,root,1.0,1.0,1.0,1.0,0.0,1,My Fellow-Citizens :,0,0
3,:,,,,:,,,,,,,1,My Fellow-Citizens :,0,0
1,When,3.0,1.0,1.0,WRB,advmod,5.0,5.0,3.0,5.0,-3.5,2,"When we assembled here on the 4th of March , 1897 , there was great anxiety with regard to our currency and credit .",5,5
2,we,2.0,1.0,1.0,PRP,nsubj,5.0,5.0,3.0,5.0,-3.5,2,"When we assembled here on the 4th of March , 1897 , there was great anxiety with regard to our currency and credit .",5,5
3,assembled,8.0,3.0,1.0,VBD,advcl,3.0,3.0,3.0,3.0,-2.0,2,"When we assembled here on the 4th of March , 1897 , there was great anxiety with regard to our currency and credit .",5,5
4,here,3.0,1.0,1.0,RB,advmod,3.0,3.0,3.0,3.0,-2.0,2,"When we assembled here on the 4th of March , 1897 , there was great anxiety with regard to our currency and credit .",5,5
5,on,2.0,1.0,1.0,IN,case,4.0,4.0,3.0,4.0,-2.75,2,"When we assembled here on the 4th of March , 1897 , there was great anxiety with regard to our currency and credit .",5,5
6,the,2.0,1.0,0.0,DT,det,5.0,5.0,5.0,5.0,-4.0,2,"When we assembled here on the 4th of March , 1897 , there was great anxiety with regard to our currency and credit .",5,5
7,4th,,,,NN,nmod:on,3.0,3.0,3.0,3.0,-2.0,2,"When we assembled here on the 4th of March , 1897 , there was great anxiety with regard to our currency and credit .",5,5
8,of,2.0,1.0,1.0,IN,case,4.0,4.0,3.0,4.0,-2.75,2,"When we assembled here on the 4th of March , 1897 , there was great anxiety with regard to our currency and credit .",5,5
9,March,4.0,1.0,1.0,NNP,nmod:of,3.0,3.0,3.0,3.0,-2.0,2,"When we assembled here on the 4th of March , 1897 , there was great anxiety with regard to our currency and credit .",5,5
10,",",,,,",",,,,,,,2,"When we assembled here on the 4th of March , 1897 , there was great anxiety with regard to our currency and credit .",5,5
11,1897,,,,CD,amod,2.0,2.0,2.0,2.0,-1.0,2,"When we assembled here on the 4th of March , 1897 , there was great anxiety with regard to our currency and credit .",5,5
12,",",,,,",",,,,,,,2,"When we assembled here on the 4th of March , 1897 , there was great anxiety with regard to our currency and credit .",5,5
13,there,3.0,1.0,1.0,EX,expl,4.0,4.0,4.0,4.0,-3.0,2,"When we assembled here on the 4th of March , 1897 , there was great anxiety with regard to our currency and credit .",5,5
14,was,3.0,1.0,1.0,VBD,root,2.0,2.0,2.0,2.0,-1.0,2,"When we assembled here on the 4th of March , 1897 , there was great anxiety with regard to our currency and credit .",5,5
15,great,4.0,1.0,1.0,JJ,amod,4.0,4.0,4.0,4.0,-3.0,2,"When we assembled here on the 4th of March , 1897 , there was great anxiety with regard to our currency and credit .",5,5
16,anxiety,7.0,4.0,1.0,NN,nsubj,3.0,3.0,3.0,3.0,-2.0,2,"When we assembled here on the 4th of March , 1897 , there was great anxiety with regard to our currency and credit .",5,5
17,with,3.0,1.0,1.0,IN,case,4.0,4.0,3.0,4.0,-2.75,2,"When we assembled here on the 4th of March , 1897 , there was great anxiety with regard to our currency and credit .",5,5
18,regard,6.0,2.0,1.0,NN,mwe,2.0,2.0,2.0,2.0,-1.0,2,"When we assembled here on the 4th of March , 1897 , there was great anxiety with regard to our currency and credit .",5,5
19,to,2.0,1.0,1.0,TO,mwe,3.0,3.0,3.0,3.0,-2.0,2,"When we assembled here on the 4th of March , 1897 , there was great anxiety with regard to our currency and credit .",5,5
20,our,2.0,2.0,1.0,PRP$,nmod:poss,3.0,3.0,3.0,3.0,-2.0,2,"When we assembled here on the 4th of March , 1897 , there was great anxiety with regard to our currency and credit .",5,5
21,currency,6.0,3.0,1.0,NN,nmod:with_regard_to,2.0,2.0,2.0,2.0,-1.0,2,"When we assembled here on the 4th of March , 1897 , there was great anxiety with regard to our currency and credit .",5,5
22,and,3.0,1.0,1.0,CC,cc,3.0,3.0,3.0,3.0,-2.0,2,"When we assembled here on the 4th of March , 1897 , there was great anxiety with regard to our currency and credit .",5,5
23,credit,6.0,2.0,1.0,NN,nmod:with_regard_to,1.0,1.0,1.0,1.0,0.0,2,"When we assembled here on the 4th of March , 1897 , there was great anxiety with regard to our currency and credit .",5,5
24,.,,,,.,,,,,,,2,"When we assembled here on the 4th of March , 1897 , there was great anxiety with regard to our currency and credit .",5,5
1,None,3.0,1.0,1.0,NN,nsubj,2.0,2.0,2.0,2.0,-1.0,3,None exists now .,0,0
2,exists,7.0,2.0,1.0,VBZ,root,2.0,2.0,2.0,2.0,-1.0,3,None exists now .,0,0
3,now,2.0,1.0,1.0,RB,advmod,1.0,1.0,1.0,1.0,0.0,3,None exists now .,0,0
4,.,,,,.,,,,,,,3,None exists now .,0,0
1,Then,3.0,1.0,1.0,RB,advmod,2.0,2.0,2.0,2.0,-1.0,4,Then our Treasury receipts were inadequate to meet the current obligations of the Government .,2,2
2,our,2.0,2.0,1.0,PRP$,nmod:poss,4.0,4.0,4.0,4.0,-3.0,4,Then our Treasury receipts were inadequate to meet the current obligations of the Government .,2,2
3,Treasury,6.0,3.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,4,Then our Treasury receipts were inadequate to meet the current obligations of the Government .,2,2
4,receipts,6.0,2.0,1.0,NNS,nsubj,3.0,3.0,3.0,3.0,-2.0,4,Then our Treasury receipts were inadequate to meet the current obligations of the Government .,2,2
5,were,2.0,1.0,0.0,VBD,cop,3.0,3.0,2.0,3.0,-1.75,4,Then our Treasury receipts were inadequate to meet the current obligations of the Government .,2,2
