widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,My,2.0,1.0,1.0,PRP$,nsubj,4.0,4.0,4.0,4.0,-3.0,1,"My fellow-citizens ,",0,0
2,fellow-citizens,,,,VBZ,root,1.0,1.0,1.0,1.0,0.0,1,"My fellow-citizens ,",0,0
3,",",,,,",",,,,,,,1,"My fellow-citizens ,",0,0
1,No,2.0,1.0,1.0,DT,neg,6.0,6.0,6.0,6.0,-5.0,2,"No people on earth have more cause to be thankful than ours , and this is said reverently , in no spirit of boastfulness in our own strength , but with gratitude to the Giver of Good who has blessed us with the conditions which have enabled us to achieve so large a measure of well-being and of happiness .",19,18
2,people,5.0,2.0,1.0,NNS,nsubj,4.0,4.0,4.0,4.0,-3.0,2,"No people on earth have more cause to be thankful than ours , and this is said reverently , in no spirit of boastfulness in our own strength , but with gratitude to the Giver of Good who has blessed us with the conditions which have enabled us to achieve so large a measure of well-being and of happiness .",19,18
3,on,2.0,1.0,1.0,IN,case,5.0,5.0,4.0,5.0,-3.75,2,"No people on earth have more cause to be thankful than ours , and this is said reverently , in no spirit of boastfulness in our own strength , but with gratitude to the Giver of Good who has blessed us with the conditions which have enabled us to achieve so large a measure of well-being and of happiness .",19,18
4,earth,2.0,1.0,1.0,NN,nmod:on,3.0,3.0,3.0,3.0,-2.0,2,"No people on earth have more cause to be thankful than ours , and this is said reverently , in no spirit of boastfulness in our own strength , but with gratitude to the Giver of Good who has blessed us with the conditions which have enabled us to achieve so large a measure of well-being and of happiness .",19,18
5,have,3.0,1.0,1.0,VBP,root,3.0,3.0,3.0,3.0,-2.0,2,"No people on earth have more cause to be thankful than ours , and this is said reverently , in no spirit of boastfulness in our own strength , but with gratitude to the Giver of Good who has blessed us with the conditions which have enabled us to achieve so large a measure of well-being and of happiness .",19,18
6,more,3.0,1.0,1.0,JJR,amod,3.0,3.0,3.0,3.0,-2.0,2,"No people on earth have more cause to be thankful than ours , and this is said reverently , in no spirit of boastfulness in our own strength , but with gratitude to the Giver of Good who has blessed us with the conditions which have enabled us to achieve so large a measure of well-being and of happiness .",19,18
7,cause,3.0,1.0,1.0,NN,dobj,3.0,3.0,3.0,3.0,-2.0,2,"No people on earth have more cause to be thankful than ours , and this is said reverently , in no spirit of boastfulness in our own strength , but with gratitude to the Giver of Good who has blessed us with the conditions which have enabled us to achieve so large a measure of well-being and of happiness .",19,18
8,to,2.0,1.0,1.0,TO,mark,4.0,4.0,4.0,4.0,-3.0,2,"No people on earth have more cause to be thankful than ours , and this is said reverently , in no spirit of boastfulness in our own strength , but with gratitude to the Giver of Good who has blessed us with the conditions which have enabled us to achieve so large a measure of well-being and of happiness .",19,18
9,be,2.0,1.0,1.0,VB,cop,4.0,4.0,3.0,4.0,-2.75,2,"No people on earth have more cause to be thankful than ours , and this is said reverently , in no spirit of boastfulness in our own strength , but with gratitude to the Giver of Good who has blessed us with the conditions which have enabled us to achieve so large a measure of well-being and of happiness .",19,18
10,thankful,7.0,2.0,1.0,JJ,acl,2.0,2.0,3.0,2.0,-1.25,2,"No people on earth have more cause to be thankful than ours , and this is said reverently , in no spirit of boastfulness in our own strength , but with gratitude to the Giver of Good who has blessed us with the conditions which have enabled us to achieve so large a measure of well-being and of happiness .",19,18
11,than,3.0,1.0,1.0,IN,case,5.0,5.0,2.0,5.0,-3.25,2,"No people on earth have more cause to be thankful than ours , and this is said reverently , in no spirit of boastfulness in our own strength , but with gratitude to the Giver of Good who has blessed us with the conditions which have enabled us to achieve so large a measure of well-being and of happiness .",19,18
12,ours,3.0,2.0,1.0,PRP,nmod:than,6.0,6.0,5.0,6.0,-4.75,2,"No people on earth have more cause to be thankful than ours , and this is said reverently , in no spirit of boastfulness in our own strength , but with gratitude to the Giver of Good who has blessed us with the conditions which have enabled us to achieve so large a measure of well-being and of happiness .",19,18
13,",",,,,",",,,,,,,2,"No people on earth have more cause to be thankful than ours , and this is said reverently , in no spirit of boastfulness in our own strength , but with gratitude to the Giver of Good who has blessed us with the conditions which have enabled us to achieve so large a measure of well-being and of happiness .",19,18
14,and,3.0,1.0,1.0,CC,cc,3.0,3.0,3.0,3.0,-2.0,2,"No people on earth have more cause to be thankful than ours , and this is said reverently , in no spirit of boastfulness in our own strength , but with gratitude to the Giver of Good who has blessed us with the conditions which have enabled us to achieve so large a measure of well-being and of happiness .",19,18
15,this,3.0,1.0,1.0,DT,nsubj,4.0,4.0,2.0,4.0,-2.5,2,"No people on earth have more cause to be thankful than ours , and this is said reverently , in no spirit of boastfulness in our own strength , but with gratitude to the Giver of Good who has blessed us with the conditions which have enabled us to achieve so large a measure of well-being and of happiness .",19,18
16,is,2.0,1.0,1.0,VBZ,conj:and,2.0,2.0,2.0,2.0,-1.0,2,"No people on earth have more cause to be thankful than ours , and this is said reverently , in no spirit of boastfulness in our own strength , but with gratitude to the Giver of Good who has blessed us with the conditions which have enabled us to achieve so large a measure of well-being and of happiness .",19,18
17,said,3.0,1.0,1.0,VBD,dep,4.0,4.0,4.0,4.0,-3.0,2,"No people on earth have more cause to be thankful than ours , and this is said reverently , in no spirit of boastfulness in our own strength , but with gratitude to the Giver of Good who has blessed us with the conditions which have enabled us to achieve so large a measure of well-being and of happiness .",19,18
18,reverently,9.0,4.0,1.0,RB,advmod,4.0,4.0,4.0,4.0,-3.0,2,"No people on earth have more cause to be thankful than ours , and this is said reverently , in no spirit of boastfulness in our own strength , but with gratitude to the Giver of Good who has blessed us with the conditions which have enabled us to achieve so large a measure of well-being and of happiness .",19,18
19,",",,,,",",,,,,,,2,"No people on earth have more cause to be thankful than ours , and this is said reverently , in no spirit of boastfulness in our own strength , but with gratitude to the Giver of Good who has blessed us with the conditions which have enabled us to achieve so large a measure of well-being and of happiness .",19,18
20,in,2.0,1.0,0.0,IN,case,6.0,6.0,5.0,6.0,-4.75,2,"No people on earth have more cause to be thankful than ours , and this is said reverently , in no spirit of boastfulness in our own strength , but with gratitude to the Giver of Good who has blessed us with the conditions which have enabled us to achieve so large a measure of well-being and of happiness .",19,18
21,no,2.0,1.0,1.0,DT,neg,7.0,7.0,7.0,7.0,-6.0,2,"No people on earth have more cause to be thankful than ours , and this is said reverently , in no spirit of boastfulness in our own strength , but with gratitude to the Giver of Good who has blessed us with the conditions which have enabled us to achieve so large a measure of well-being and of happiness .",19,18
22,spirit,6.0,2.0,1.0,NN,nmod:in,5.0,5.0,5.0,5.0,-4.0,2,"No people on earth have more cause to be thankful than ours , and this is said reverently , in no spirit of boastfulness in our own strength , but with gratitude to the Giver of Good who has blessed us with the conditions which have enabled us to achieve so large a measure of well-being and of happiness .",19,18
23,of,2.0,1.0,1.0,IN,case,6.0,6.0,5.0,6.0,-4.75,2,"No people on earth have more cause to be thankful than ours , and this is said reverently , in no spirit of boastfulness in our own strength , but with gratitude to the Giver of Good who has blessed us with the conditions which have enabled us to achieve so large a measure of well-being and of happiness .",19,18
24,boastfulness,,,,NNS,nmod:of,4.0,4.0,4.0,4.0,-3.0,2,"No people on earth have more cause to be thankful than ours , and this is said reverently , in no spirit of boastfulness in our own strength , but with gratitude to the Giver of Good who has blessed us with the conditions which have enabled us to achieve so large a measure of well-being and of happiness .",19,18
25,in,2.0,1.0,0.0,IN,case,5.0,5.0,4.0,5.0,-3.75,2,"No people on earth have more cause to be thankful than ours , and this is said reverently , in no spirit of boastfulness in our own strength , but with gratitude to the Giver of Good who has blessed us with the conditions which have enabled us to achieve so large a measure of well-being and of happiness .",19,18
26,our,2.0,2.0,1.0,PRP$,nmod:poss,5.0,5.0,5.0,5.0,-4.0,2,"No people on earth have more cause to be thankful than ours , and this is said reverently , in no spirit of boastfulness in our own strength , but with gratitude to the Giver of Good who has blessed us with the conditions which have enabled us to achieve so large a measure of well-being and of happiness .",19,18
27,own,2.0,1.0,1.0,JJ,amod,4.0,4.0,4.0,4.0,-3.0,2,"No people on earth have more cause to be thankful than ours , and this is said reverently , in no spirit of boastfulness in our own strength , but with gratitude to the Giver of Good who has blessed us with the conditions which have enabled us to achieve so large a measure of well-being and of happiness .",19,18
28,strength,7.0,1.0,1.0,NN,nmod:in,3.0,3.0,3.0,3.0,-2.0,2,"No people on earth have more cause to be thankful than ours , and this is said reverently , in no spirit of boastfulness in our own strength , but with gratitude to the Giver of Good who has blessed us with the conditions which have enabled us to achieve so large a measure of well-being and of happiness .",19,18
