widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,My,2.0,1.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,1,My Fellow-Citizens :,0,0
2,Fellow-Citizens,,,,NNPS,root,1.0,1.0,1.0,1.0,0.0,1,My Fellow-Citizens :,0,0
3,:,,,,:,,,,,,,1,My Fellow-Citizens :,0,0
1,Anyone,6.0,3.0,2.0,NN,nsubj,3.0,3.0,3.0,3.0,-2.0,2,Anyone who has taken the oath I have just taken must feel a heavy weight of responsibility .,6,6
2,who,2.0,1.0,1.0,WP,ref,5.0,5.0,3.0,5.0,-3.5,2,Anyone who has taken the oath I have just taken must feel a heavy weight of responsibility .,6,6
3,has,3.0,1.0,1.0,VBZ,aux,4.0,4.0,3.0,4.0,-2.75,2,Anyone who has taken the oath I have just taken must feel a heavy weight of responsibility .,6,6
4,taken,5.0,2.0,1.0,VBN,acl:relcl,3.0,3.0,3.0,3.0,-2.0,2,Anyone who has taken the oath I have just taken must feel a heavy weight of responsibility .,6,6
5,the,2.0,1.0,0.0,DT,det,5.0,5.0,5.0,5.0,-4.0,2,Anyone who has taken the oath I have just taken must feel a heavy weight of responsibility .,6,6
6,oath,2.0,1.0,1.0,NN,dobj,3.0,3.0,3.0,3.0,-2.0,2,Anyone who has taken the oath I have just taken must feel a heavy weight of responsibility .,6,6
7,I,1.0,1.0,1.0,PRP,nsubj,5.0,5.0,3.0,5.0,-3.5,2,Anyone who has taken the oath I have just taken must feel a heavy weight of responsibility .,6,6
8,have,3.0,1.0,1.0,VBP,aux,4.0,4.0,3.0,4.0,-2.75,2,Anyone who has taken the oath I have just taken must feel a heavy weight of responsibility .,6,6
9,just,4.0,1.0,1.0,RB,advmod,3.0,3.0,3.0,3.0,-2.0,2,Anyone who has taken the oath I have just taken must feel a heavy weight of responsibility .,6,6
10,taken,5.0,2.0,1.0,VBN,acl:relcl,2.0,2.0,2.0,2.0,-1.0,2,Anyone who has taken the oath I have just taken must feel a heavy weight of responsibility .,6,6
11,must,4.0,1.0,1.0,MD,aux,3.0,3.0,2.0,3.0,-1.75,2,Anyone who has taken the oath I have just taken must feel a heavy weight of responsibility .,6,6
12,feel,3.0,1.0,1.0,VB,root,2.0,2.0,2.0,2.0,-1.0,2,Anyone who has taken the oath I have just taken must feel a heavy weight of responsibility .,6,6
13,a,1.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,2,Anyone who has taken the oath I have just taken must feel a heavy weight of responsibility .,6,6
14,heavy,4.0,2.0,1.0,JJ,amod,3.0,3.0,3.0,3.0,-2.0,2,Anyone who has taken the oath I have just taken must feel a heavy weight of responsibility .,6,6
15,weight,3.0,1.0,1.0,NN,dobj,2.0,2.0,2.0,2.0,-1.0,2,Anyone who has taken the oath I have just taken must feel a heavy weight of responsibility .,6,6
16,of,2.0,1.0,1.0,IN,case,3.0,3.0,2.0,3.0,-1.75,2,Anyone who has taken the oath I have just taken must feel a heavy weight of responsibility .,6,6
17,responsibility,14.0,6.0,2.0,NN,nmod:of,1.0,1.0,1.0,1.0,0.0,2,Anyone who has taken the oath I have just taken must feel a heavy weight of responsibility .,6,6
18,.,,,,.,,,,,,,2,Anyone who has taken the oath I have just taken must feel a heavy weight of responsibility .,6,6
1,If,2.0,1.0,1.0,IN,dep,4.0,4.0,3.0,4.0,-2.75,3,"If not , he has no conception of the powers and duties of the office upon which he is about to enter , or he is lacking in a proper sense of the obligation which the oath imposes .",15,13
2,not,3.0,1.0,1.0,RB,neg,4.0,4.0,2.0,4.0,-2.5,3,"If not , he has no conception of the powers and duties of the office upon which he is about to enter , or he is lacking in a proper sense of the obligation which the oath imposes .",15,13
3,",",,,,",",,,,,,,3,"If not , he has no conception of the powers and duties of the office upon which he is about to enter , or he is lacking in a proper sense of the obligation which the oath imposes .",15,13
4,he,2.0,1.0,1.0,PRP,nsubj,4.0,4.0,2.0,4.0,-2.5,3,"If not , he has no conception of the powers and duties of the office upon which he is about to enter , or he is lacking in a proper sense of the obligation which the oath imposes .",15,13
5,has,3.0,1.0,1.0,VBZ,root,2.0,2.0,2.0,2.0,-1.0,3,"If not , he has no conception of the powers and duties of the office upon which he is about to enter , or he is lacking in a proper sense of the obligation which the oath imposes .",15,13
6,no,2.0,1.0,1.0,DT,neg,4.0,4.0,4.0,4.0,-3.0,3,"If not , he has no conception of the powers and duties of the office upon which he is about to enter , or he is lacking in a proper sense of the obligation which the oath imposes .",15,13
7,conception,9.0,3.0,1.0,NN,dobj,2.0,2.0,2.0,2.0,-1.0,3,"If not , he has no conception of the powers and duties of the office upon which he is about to enter , or he is lacking in a proper sense of the obligation which the oath imposes .",15,13
8,of,2.0,1.0,1.0,IN,case,3.0,3.0,2.0,3.0,-1.75,3,"If not , he has no conception of the powers and duties of the office upon which he is about to enter , or he is lacking in a proper sense of the obligation which the oath imposes .",15,13
9,the,2.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,3,"If not , he has no conception of the powers and duties of the office upon which he is about to enter , or he is lacking in a proper sense of the obligation which the oath imposes .",15,13
10,powers,4.0,2.0,1.0,NNS,nmod:of,3.0,3.0,3.0,3.0,-2.0,3,"If not , he has no conception of the powers and duties of the office upon which he is about to enter , or he is lacking in a proper sense of the obligation which the oath imposes .",15,13
11,and,3.0,1.0,1.0,CC,cc,4.0,4.0,4.0,4.0,-3.0,3,"If not , he has no conception of the powers and duties of the office upon which he is about to enter , or he is lacking in a proper sense of the obligation which the oath imposes .",15,13
12,duties,5.0,2.0,1.0,NNS,nmod:of,2.0,2.0,2.0,2.0,-1.0,3,"If not , he has no conception of the powers and duties of the office upon which he is about to enter , or he is lacking in a proper sense of the obligation which the oath imposes .",15,13
