widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,There,3.0,1.0,1.0,EX,expl,4.0,4.0,4.0,4.0,-3.0,1,There has been a change of government .,3,3
2,has,3.0,1.0,1.0,VBZ,aux,3.0,3.0,2.0,3.0,-1.75,1,There has been a change of government .,3,3
3,been,3.0,1.0,1.0,VBN,cop,3.0,3.0,2.0,3.0,-1.75,1,There has been a change of government .,3,3
4,a,1.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,1,There has been a change of government .,3,3
5,change,4.0,1.0,1.0,NN,root,2.0,2.0,2.0,2.0,-1.0,1,There has been a change of government .,3,3
6,of,2.0,1.0,1.0,IN,case,3.0,3.0,2.0,3.0,-1.75,1,There has been a change of government .,3,3
7,government,8.0,3.0,1.0,NN,nmod:of,1.0,1.0,1.0,1.0,0.0,1,There has been a change of government .,3,3
8,.,,,,.,,,,,,,1,There has been a change of government .,3,3
1,It,2.0,1.0,1.0,PRP,nsubj,4.0,4.0,4.0,4.0,-3.0,2,"It began two years ago , when the House of Representatives became Democratic by a decisive majority .",3,3
2,began,5.0,2.0,1.0,VBD,root,2.0,2.0,2.0,2.0,-1.0,2,"It began two years ago , when the House of Representatives became Democratic by a decisive majority .",3,3
3,two,2.0,1.0,1.0,CD,nummod,4.0,4.0,4.0,4.0,-3.0,2,"It began two years ago , when the House of Representatives became Democratic by a decisive majority .",3,3
4,years,4.0,1.0,1.0,NNS,nmod:npmod,3.0,3.0,3.0,3.0,-2.0,2,"It began two years ago , when the House of Representatives became Democratic by a decisive majority .",3,3
5,ago,3.0,2.0,1.0,RB,advmod,2.0,2.0,2.0,2.0,-1.0,2,"It began two years ago , when the House of Representatives became Democratic by a decisive majority .",3,3
6,",",,,,",",,,,,,,2,"It began two years ago , when the House of Representatives became Democratic by a decisive majority .",3,3
7,when,3.0,1.0,1.0,WRB,advmod,4.0,4.0,2.0,4.0,-2.5,2,"It began two years ago , when the House of Representatives became Democratic by a decisive majority .",3,3
8,the,2.0,1.0,0.0,DT,det,5.0,5.0,5.0,5.0,-4.0,2,"It began two years ago , when the House of Representatives became Democratic by a decisive majority .",3,3
9,House,3.0,1.0,1.0,NNP,nsubj,3.0,3.0,3.0,3.0,-2.0,2,"It began two years ago , when the House of Representatives became Democratic by a decisive majority .",3,3
10,of,2.0,1.0,1.0,IN,case,4.0,4.0,3.0,4.0,-2.75,2,"It began two years ago , when the House of Representatives became Democratic by a decisive majority .",3,3
11,Representatives,14.0,5.0,2.0,NNPS,nmod:of,2.0,2.0,2.0,2.0,-1.0,2,"It began two years ago , when the House of Representatives became Democratic by a decisive majority .",3,3
12,became,5.0,2.0,1.0,VBD,advcl,2.0,2.0,2.0,2.0,-1.0,2,"It began two years ago , when the House of Representatives became Democratic by a decisive majority .",3,3
