widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,When,3.0,1.0,1.0,WRB,advmod,5.0,5.0,3.0,5.0,-3.5,1,"When one surveys the world about him after the great storm , noting the marks of destruction and yet rejoicing in the ruggedness of the things which withstood it , if he is an American he breathes the clarified atmosphere with a strange mingling of regret and new hope .",15,13
2,one,3.0,1.0,1.0,PRP,nsubj,5.0,5.0,3.0,5.0,-3.5,1,"When one surveys the world about him after the great storm , noting the marks of destruction and yet rejoicing in the ruggedness of the things which withstood it , if he is an American he breathes the clarified atmosphere with a strange mingling of regret and new hope .",15,13
3,surveys,5.0,2.0,1.0,VBZ,advcl,3.0,3.0,3.0,3.0,-2.0,1,"When one surveys the world about him after the great storm , noting the marks of destruction and yet rejoicing in the ruggedness of the things which withstood it , if he is an American he breathes the clarified atmosphere with a strange mingling of regret and new hope .",15,13
4,the,2.0,1.0,0.0,DT,det,5.0,5.0,6.0,5.0,-4.25,1,"When one surveys the world about him after the great storm , noting the marks of destruction and yet rejoicing in the ruggedness of the things which withstood it , if he is an American he breathes the clarified atmosphere with a strange mingling of regret and new hope .",15,13
5,world,4.0,1.0,1.0,NN,dobj,3.0,3.0,4.0,3.0,-2.25,1,"When one surveys the world about him after the great storm , noting the marks of destruction and yet rejoicing in the ruggedness of the things which withstood it , if he is an American he breathes the clarified atmosphere with a strange mingling of regret and new hope .",15,13
6,about,4.0,2.0,1.0,IN,case,6.0,6.0,5.0,6.0,-4.75,1,"When one surveys the world about him after the great storm , noting the marks of destruction and yet rejoicing in the ruggedness of the things which withstood it , if he is an American he breathes the clarified atmosphere with a strange mingling of regret and new hope .",15,13
7,him,3.0,1.0,1.0,PRP,nmod:about,7.0,7.0,3.0,7.0,-5.0,1,"When one surveys the world about him after the great storm , noting the marks of destruction and yet rejoicing in the ruggedness of the things which withstood it , if he is an American he breathes the clarified atmosphere with a strange mingling of regret and new hope .",15,13
8,after,4.0,2.0,1.0,IN,case,5.0,5.0,5.0,5.0,-4.0,1,"When one surveys the world about him after the great storm , noting the marks of destruction and yet rejoicing in the ruggedness of the things which withstood it , if he is an American he breathes the clarified atmosphere with a strange mingling of regret and new hope .",15,13
9,the,2.0,1.0,0.0,DT,det,5.0,5.0,5.0,5.0,-4.0,1,"When one surveys the world about him after the great storm , noting the marks of destruction and yet rejoicing in the ruggedness of the things which withstood it , if he is an American he breathes the clarified atmosphere with a strange mingling of regret and new hope .",15,13
10,great,4.0,1.0,1.0,JJ,amod,4.0,4.0,4.0,4.0,-3.0,1,"When one surveys the world about him after the great storm , noting the marks of destruction and yet rejoicing in the ruggedness of the things which withstood it , if he is an American he breathes the clarified atmosphere with a strange mingling of regret and new hope .",15,13
