widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,My,2.0,1.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,1,My Countrymen :,0,0
2,Countrymen,9.0,3.0,1.0,NNP,root,1.0,1.0,1.0,1.0,0.0,1,My Countrymen :,0,0
3,:,,,,:,,,,,,,1,My Countrymen :,0,0
1,No,2.0,1.0,1.0,DT,neg,4.0,4.0,4.0,4.0,-3.0,2,No one can contemplate current conditions without finding much that is satisfying and still more that is encouraging .,6,5
2,one,3.0,1.0,1.0,NN,nsubj,2.0,2.0,2.0,2.0,-1.0,2,No one can contemplate current conditions without finding much that is satisfying and still more that is encouraging .,6,5
3,can,3.0,1.0,1.0,MD,aux,3.0,3.0,2.0,3.0,-1.75,2,No one can contemplate current conditions without finding much that is satisfying and still more that is encouraging .,6,5
4,contemplate,10.0,3.0,2.0,VB,root,2.0,2.0,2.0,2.0,-1.0,2,No one can contemplate current conditions without finding much that is satisfying and still more that is encouraging .,6,5
5,current,5.0,2.0,1.0,JJ,amod,3.0,3.0,3.0,3.0,-2.0,2,No one can contemplate current conditions without finding much that is satisfying and still more that is encouraging .,6,5
6,conditions,9.0,3.0,1.0,NNS,dobj,2.0,2.0,2.0,2.0,-1.0,2,No one can contemplate current conditions without finding much that is satisfying and still more that is encouraging .,6,5
7,without,5.0,2.0,1.0,IN,mark,3.0,3.0,3.0,3.0,-2.0,2,No one can contemplate current conditions without finding much that is satisfying and still more that is encouraging .,6,5
8,finding,6.0,2.0,1.0,VBG,advcl,2.0,2.0,2.0,2.0,-1.0,2,No one can contemplate current conditions without finding much that is satisfying and still more that is encouraging .,6,5
9,much,3.0,1.0,1.0,RB,dobj,2.0,2.0,2.0,2.0,-1.0,2,No one can contemplate current conditions without finding much that is satisfying and still more that is encouraging .,6,5
10,that,3.0,1.0,1.0,WDT,ref,4.0,4.0,2.0,4.0,-2.5,2,No one can contemplate current conditions without finding much that is satisfying and still more that is encouraging .,6,5
11,is,2.0,1.0,1.0,VBZ,cop,3.0,3.0,2.0,3.0,-1.75,2,No one can contemplate current conditions without finding much that is satisfying and still more that is encouraging .,6,5
12,satisfying,9.0,4.0,2.0,JJ,acl:relcl,3.0,3.0,3.0,3.0,-2.0,2,No one can contemplate current conditions without finding much that is satisfying and still more that is encouraging .,6,5
13,and,3.0,1.0,1.0,CC,cc,4.0,4.0,4.0,4.0,-3.0,2,No one can contemplate current conditions without finding much that is satisfying and still more that is encouraging .,6,5
14,still,4.0,1.0,1.0,RB,advmod,3.0,3.0,3.0,3.0,-2.0,2,No one can contemplate current conditions without finding much that is satisfying and still more that is encouraging .,6,5
15,more,3.0,1.0,1.0,JJR,acl:relcl,2.0,2.0,2.0,2.0,-1.0,2,No one can contemplate current conditions without finding much that is satisfying and still more that is encouraging .,6,5
16,that,3.0,1.0,1.0,IN,mark,3.0,3.0,2.0,3.0,-1.75,2,No one can contemplate current conditions without finding much that is satisfying and still more that is encouraging .,6,5
17,is,2.0,1.0,1.0,VBZ,cop,3.0,3.0,2.0,3.0,-1.75,2,No one can contemplate current conditions without finding much that is satisfying and still more that is encouraging .,6,5
18,encouraging,8.0,4.0,1.0,VBG,ccomp,1.0,1.0,1.0,1.0,0.0,2,No one can contemplate current conditions without finding much that is satisfying and still more that is encouraging .,6,5
19,.,,,,.,,,,,,,2,No one can contemplate current conditions without finding much that is satisfying and still more that is encouraging .,6,5
1,Our,2.0,2.0,1.0,PRP$,nmod:poss,4.0,4.0,4.0,4.0,-3.0,3,Our own country is leading the world in the general readjustment to the results of the great conflict .,3,3
2,own,2.0,1.0,1.0,JJ,amod,3.0,3.0,3.0,3.0,-2.0,3,Our own country is leading the world in the general readjustment to the results of the great conflict .,3,3
3,country,6.0,2.0,1.0,NN,nsubj,2.0,2.0,2.0,2.0,-1.0,3,Our own country is leading the world in the general readjustment to the results of the great conflict .,3,3
4,is,2.0,1.0,1.0,VBZ,aux,3.0,3.0,2.0,3.0,-1.75,3,Our own country is leading the world in the general readjustment to the results of the great conflict .,3,3
5,leading,5.0,2.0,1.0,VBG,root,2.0,2.0,2.0,2.0,-1.0,3,Our own country is leading the world in the general readjustment to the results of the great conflict .,3,3
6,the,2.0,1.0,0.0,DT,det,5.0,5.0,5.0,5.0,-4.0,3,Our own country is leading the world in the general readjustment to the results of the great conflict .,3,3
7,world,4.0,1.0,1.0,NN,dobj,3.0,3.0,3.0,3.0,-2.0,3,Our own country is leading the world in the general readjustment to the results of the great conflict .,3,3
