widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,My,2.0,1.0,1.0,PRP$,nmod:poss,3.0,3.0,3.0,3.0,-2.0,1,My countrymen :,0,0
2,countrymen,9.0,3.0,1.0,NNS,root,1.0,1.0,1.0,1.0,0.0,1,My countrymen :,0,0
3,:,,,,:,,,,,,,1,My countrymen :,0,0
1,This,3.0,1.0,1.0,DT,det,4.0,4.0,3.0,4.0,-2.75,2,This occasion is not alone the administration of the most sacred oath which can be assumed by an American citizen .,8,8
2,occasion,6.0,3.0,1.0,NN,nsubj,2.0,2.0,2.0,2.0,-1.0,2,This occasion is not alone the administration of the most sacred oath which can be assumed by an American citizen .,8,8
3,is,2.0,1.0,1.0,VBZ,cop,3.0,3.0,2.0,3.0,-1.75,2,This occasion is not alone the administration of the most sacred oath which can be assumed by an American citizen .,8,8
4,not,3.0,1.0,1.0,RB,neg,3.0,3.0,2.0,3.0,-1.75,2,This occasion is not alone the administration of the most sacred oath which can be assumed by an American citizen .,8,8
5,alone,4.0,2.0,1.0,RB,advmod,3.0,3.0,3.0,3.0,-2.0,2,This occasion is not alone the administration of the most sacred oath which can be assumed by an American citizen .,8,8
6,the,2.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,2,This occasion is not alone the administration of the most sacred oath which can be assumed by an American citizen .,8,8
7,administration,13.0,5.0,2.0,NN,root,2.0,2.0,2.0,2.0,-1.0,2,This occasion is not alone the administration of the most sacred oath which can be assumed by an American citizen .,8,8
8,of,2.0,1.0,1.0,IN,case,3.0,3.0,2.0,3.0,-1.75,2,This occasion is not alone the administration of the most sacred oath which can be assumed by an American citizen .,8,8
9,the,2.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,2,This occasion is not alone the administration of the most sacred oath which can be assumed by an American citizen .,8,8
10,most,4.0,1.0,1.0,RBS,advmod,3.0,3.0,3.0,3.0,-2.0,2,This occasion is not alone the administration of the most sacred oath which can be assumed by an American citizen .,8,8
11,sacred,6.0,2.0,1.0,JJ,amod,3.0,3.0,3.0,3.0,-2.0,2,This occasion is not alone the administration of the most sacred oath which can be assumed by an American citizen .,8,8
12,oath,2.0,1.0,1.0,NN,nmod:of,2.0,2.0,2.0,2.0,-1.0,2,This occasion is not alone the administration of the most sacred oath which can be assumed by an American citizen .,8,8
13,which,3.0,1.0,1.0,WDT,ref,4.0,4.0,2.0,4.0,-2.5,2,This occasion is not alone the administration of the most sacred oath which can be assumed by an American citizen .,8,8
14,can,3.0,1.0,1.0,MD,aux,3.0,3.0,2.0,3.0,-1.75,2,This occasion is not alone the administration of the most sacred oath which can be assumed by an American citizen .,8,8
15,be,2.0,1.0,1.0,VB,auxpass,3.0,3.0,2.0,3.0,-1.75,2,This occasion is not alone the administration of the most sacred oath which can be assumed by an American citizen .,8,8
16,assumed,5.0,2.0,1.0,VBN,acl:relcl,2.0,2.0,2.0,2.0,-1.0,2,This occasion is not alone the administration of the most sacred oath which can be assumed by an American citizen .,8,8
17,by,2.0,1.0,1.0,IN,case,3.0,3.0,2.0,3.0,-1.75,2,This occasion is not alone the administration of the most sacred oath which can be assumed by an American citizen .,8,8
18,an,2.0,1.0,1.0,DT,det,3.0,3.0,3.0,3.0,-2.0,2,This occasion is not alone the administration of the most sacred oath which can be assumed by an American citizen .,8,8
19,American,8.0,4.0,1.0,JJ,amod,2.0,2.0,2.0,2.0,-1.0,2,This occasion is not alone the administration of the most sacred oath which can be assumed by an American citizen .,8,8
20,citizen,7.0,3.0,1.0,NN,nmod:by,1.0,1.0,1.0,1.0,0.0,2,This occasion is not alone the administration of the most sacred oath which can be assumed by an American citizen .,8,8
