widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,Mr.,5.0,2.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,-2.0,1,"Mr. Vice President , Mr. Chief Justice , fellow citizens :",0,0
2,Vice,3.0,1.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,1,"Mr. Vice President , Mr. Chief Justice , fellow citizens :",0,0
3,President,9.0,3.0,2.0,NNP,root,3.0,3.0,3.0,3.0,-2.0,1,"Mr. Vice President , Mr. Chief Justice , fellow citizens :",0,0
4,",",,,,",",,,,,,,1,"Mr. Vice President , Mr. Chief Justice , fellow citizens :",0,0
5,Mr.,5.0,2.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,-2.0,1,"Mr. Vice President , Mr. Chief Justice , fellow citizens :",0,0
6,Chief,3.0,1.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,1,"Mr. Vice President , Mr. Chief Justice , fellow citizens :",0,0
7,Justice,6.0,2.0,1.0,NNP,appos,3.0,3.0,3.0,3.0,-2.0,1,"Mr. Vice President , Mr. Chief Justice , fellow citizens :",0,0
8,",",,,,",",,,,,,,1,"Mr. Vice President , Mr. Chief Justice , fellow citizens :",0,0
9,fellow,4.0,2.0,1.0,JJ,amod,2.0,2.0,2.0,2.0,-1.0,1,"Mr. Vice President , Mr. Chief Justice , fellow citizens :",0,0
10,citizens,8.0,3.0,1.0,NNS,appos,1.0,1.0,1.0,1.0,0.0,1,"Mr. Vice President , Mr. Chief Justice , fellow citizens :",0,0
11,:,,,,:,,,,,,,1,"Mr. Vice President , Mr. Chief Justice , fellow citizens :",0,0
1,I,1.0,1.0,1.0,PRP,nsubj,4.0,4.0,2.0,4.0,-2.5,2,I accept with humility the honor which the American people have conferred upon me .,6,5
2,accept,6.0,2.0,1.0,VBP,root,2.0,2.0,2.0,2.0,-1.0,2,I accept with humility the honor which the American people have conferred upon me .,6,5
3,with,3.0,1.0,1.0,IN,case,4.0,4.0,3.0,4.0,-2.75,2,I accept with humility the honor which the American people have conferred upon me .,6,5
4,humility,9.0,4.0,1.0,NN,nmod:with,2.0,2.0,2.0,2.0,-1.0,2,I accept with humility the honor which the American people have conferred upon me .,6,5
5,the,2.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,2,I accept with humility the honor which the American people have conferred upon me .,6,5
6,honor,3.0,2.0,1.0,NN,dobj,2.0,2.0,2.0,2.0,-1.0,2,I accept with humility the honor which the American people have conferred upon me .,6,5
7,which,3.0,1.0,1.0,WDT,ref,4.0,4.0,2.0,4.0,-2.5,2,I accept with humility the honor which the American people have conferred upon me .,6,5
