widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,Vice,3.0,1.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,-2.0,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0
2,President,9.0,3.0,2.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0
3,Johnson,6.0,2.0,1.0,NNP,root,3.0,3.0,3.0,3.0,-2.0,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0
4,",",,,,",",,,,,,,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0
5,Mr.,5.0,2.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0
6,Speaker,5.0,2.0,1.0,NNP,appos,3.0,3.0,3.0,3.0,-2.0,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0
7,",",,,,",",,,,,,,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0
8,Mr.,5.0,2.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,-2.0,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0
9,Chief,3.0,1.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0
10,Justice,6.0,2.0,1.0,NNP,appos,3.0,3.0,3.0,3.0,-2.0,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0
11,",",,,,",",,,,,,,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0
12,President,9.0,3.0,2.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0
13,Eisenhower,7.0,4.0,2.0,NNP,appos,3.0,3.0,3.0,3.0,-2.0,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0
14,",",,,,",",,,,,,,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0
15,Vice,3.0,1.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,-2.0,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0
16,president,9.0,3.0,2.0,NN,compound,2.0,2.0,2.0,2.0,-1.0,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0
17,Nixon,6.0,2.0,1.0,NNP,appos,3.0,3.0,3.0,3.0,-2.0,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0
18,",",,,,",",,,,,,,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0
19,President,9.0,3.0,2.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0
20,Truman,6.0,2.0,1.0,NNP,appos,3.0,3.0,3.0,3.0,-2.0,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0
21,",",,,,",",,,,,,,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0
22,Reverend,7.0,3.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0
23,Clergy,5.0,2.0,1.0,NNP,appos,3.0,3.0,3.0,3.0,-2.0,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0
24,",",,,,",",,,,,,,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0
25,fellow,4.0,2.0,1.0,JJ,amod,2.0,2.0,2.0,2.0,-1.0,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0
26,citizens,8.0,3.0,1.0,NNS,appos,1.0,1.0,1.0,1.0,0.0,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0
27,:,,,,:,,,,,,,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0
1,We,2.0,1.0,1.0,PRP,nsubj,4.0,4.0,2.0,4.0,-2.5,2,We observe today not a victory of party but a celebration of freedom --,4,4
2,observe,5.0,2.0,1.0,VBP,root,2.0,2.0,2.0,2.0,-1.0,2,We observe today not a victory of party but a celebration of freedom --,4,4
3,today,4.0,2.0,1.0,NN,nmod:tmod,2.0,2.0,2.0,2.0,-1.0,2,We observe today not a victory of party but a celebration of freedom --,4,4
4,not,3.0,1.0,1.0,RB,neg,3.0,3.0,2.0,3.0,-1.75,2,We observe today not a victory of party but a celebration of freedom --,4,4
5,a,1.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,2,We observe today not a victory of party but a celebration of freedom --,4,4
6,victory,6.0,3.0,1.0,NN,nmod,2.0,2.0,2.0,2.0,-1.0,2,We observe today not a victory of party but a celebration of freedom --,4,4
7,of,2.0,1.0,1.0,IN,case,3.0,3.0,2.0,3.0,-1.75,2,We observe today not a victory of party but a celebration of freedom --,4,4
8,party,5.0,2.0,1.0,NN,nmod:of,2.0,2.0,2.0,2.0,-1.0,2,We observe today not a victory of party but a celebration of freedom --,4,4
9,but,3.0,1.0,1.0,CC,case,3.0,3.0,3.0,3.0,-2.0,2,We observe today not a victory of party but a celebration of freedom --,4,4
10,a,1.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,2,We observe today not a victory of party but a celebration of freedom --,4,4
11,celebration,10.0,4.0,2.0,NN,nmod:but,2.0,2.0,2.0,2.0,-1.0,2,We observe today not a victory of party but a celebration of freedom --,4,4
12,of,2.0,1.0,1.0,IN,case,3.0,3.0,2.0,3.0,-1.75,2,We observe today not a victory of party but a celebration of freedom --,4,4
13,freedom,6.0,2.0,1.0,NN,nmod:of,1.0,1.0,1.0,1.0,0.0,2,We observe today not a victory of party but a celebration of freedom --,4,4
14,--,,,,:,,,,,,,2,We observe today not a victory of party but a celebration of freedom --,4,4
1,symbolizing,10.0,4.0,2.0,VBG,root,2.0,2.0,2.0,2.0,-1.0,3,symbolizing an end as well as a beginning --,1,1
2,an,2.0,1.0,1.0,DT,det,4.0,4.0,4.0,4.0,-3.0,3,symbolizing an end as well as a beginning --,1,1
3,end,3.0,1.0,1.0,NN,dobj,2.0,2.0,2.0,2.0,-1.0,3,symbolizing an end as well as a beginning --,1,1
4,as,2.0,1.0,1.0,RB,cc,4.0,4.0,4.0,4.0,-3.0,3,symbolizing an end as well as a beginning --,1,1
5,well,3.0,1.0,1.0,RB,mwe,2.0,2.0,3.0,2.0,-1.25,3,symbolizing an end as well as a beginning --,1,1
6,as,2.0,1.0,1.0,IN,mwe,4.0,4.0,2.0,4.0,-2.5,3,symbolizing an end as well as a beginning --,1,1
7,a,1.0,1.0,0.0,DT,det,3.0,3.0,3.0,3.0,-2.0,3,symbolizing an end as well as a beginning --,1,1
8,beginning,7.0,3.0,1.0,NN,dobj,1.0,1.0,1.0,1.0,0.0,3,symbolizing an end as well as a beginning --,1,1
9,--,,,,:,,,,,,,3,symbolizing an end as well as a beginning --,1,1
1,signifying,9.0,4.0,2.0,VBG,root,2.0,2.0,2.0,2.0,-1.0,4,signifying renewal as well as change .,1,1
