widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,My,2.0,1.0,1.0,PRP$,nmod:poss,3.0,3.0,3.0,3.0,-2.0,1,My fellow countrymen :,0,0
2,fellow,4.0,2.0,1.0,JJ,amod,2.0,2.0,2.0,2.0,-1.0,1,My fellow countrymen :,0,0
3,countrymen,9.0,3.0,1.0,NNS,root,1.0,1.0,1.0,1.0,0.0,1,My fellow countrymen :,0,0
4,:,,,,:,,,,,,,1,My fellow countrymen :,0,0
1,On,2.0,1.0,1.0,IN,case,4.0,4.0,3.0,4.0,-2.75,2,"On this occasion the oath I have taken before you and before God is not mine alone , but ours together .",10,7
2,this,3.0,1.0,1.0,DT,det,4.0,4.0,3.0,4.0,-2.75,2,"On this occasion the oath I have taken before you and before God is not mine alone , but ours together .",10,7
3,occasion,6.0,3.0,1.0,NN,nmod:on,2.0,2.0,2.0,2.0,-1.0,2,"On this occasion the oath I have taken before you and before God is not mine alone , but ours together .",10,7
4,the,2.0,1.0,0.0,DT,det,5.0,5.0,5.0,5.0,-4.0,2,"On this occasion the oath I have taken before you and before God is not mine alone , but ours together .",10,7
5,oath,2.0,1.0,1.0,NN,nsubj,3.0,3.0,3.0,3.0,-2.0,2,"On this occasion the oath I have taken before you and before God is not mine alone , but ours together .",10,7
6,I,1.0,1.0,1.0,PRP,nsubj,5.0,5.0,3.0,5.0,-3.5,2,"On this occasion the oath I have taken before you and before God is not mine alone , but ours together .",10,7
7,have,3.0,1.0,1.0,VBP,aux,4.0,4.0,3.0,4.0,-2.75,2,"On this occasion the oath I have taken before you and before God is not mine alone , but ours together .",10,7
8,taken,5.0,2.0,1.0,VBN,acl:relcl,3.0,3.0,3.0,3.0,-2.0,2,"On this occasion the oath I have taken before you and before God is not mine alone , but ours together .",10,7
9,before,5.0,2.0,1.0,IN,acl:relcl,5.0,5.0,5.0,5.0,-4.0,2,"On this occasion the oath I have taken before you and before God is not mine alone , but ours together .",10,7
10,you,2.0,1.0,1.0,PRP,case,6.0,6.0,3.0,6.0,-4.25,2,"On this occasion the oath I have taken before you and before God is not mine alone , but ours together .",10,7
11,and,3.0,1.0,1.0,CC,nmod:before,4.0,4.0,4.0,4.0,-3.0,2,"On this occasion the oath I have taken before you and before God is not mine alone , but ours together .",10,7
12,before,5.0,2.0,1.0,IN,cc,4.0,4.0,4.0,4.0,-3.0,2,"On this occasion the oath I have taken before you and before God is not mine alone , but ours together .",10,7
13,God,3.0,1.0,1.0,NNP,case,2.0,2.0,2.0,2.0,-1.0,2,"On this occasion the oath I have taken before you and before God is not mine alone , but ours together .",10,7
