widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,Senator,6.0,3.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,1,"Senator Dirksen , Mr. Chief Justice , Mr. Vice president , President Johnson , Vice president Humphrey , my fellow Americans-and my fellow citizens of the world community :",1,1
2,Dirksen,6.0,2.0,1.0,NNP,root,3.0,3.0,3.0,3.0,-2.0,1,"Senator Dirksen , Mr. Chief Justice , Mr. Vice president , President Johnson , Vice president Humphrey , my fellow Americans-and my fellow citizens of the world community :",1,1
3,",",,,,",",,,,,,,1,"Senator Dirksen , Mr. Chief Justice , Mr. Vice president , President Johnson , Vice president Humphrey , my fellow Americans-and my fellow citizens of the world community :",1,1
4,Mr.,5.0,2.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,-2.0,1,"Senator Dirksen , Mr. Chief Justice , Mr. Vice president , President Johnson , Vice president Humphrey , my fellow Americans-and my fellow citizens of the world community :",1,1
5,Chief,3.0,1.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,1,"Senator Dirksen , Mr. Chief Justice , Mr. Vice president , President Johnson , Vice president Humphrey , my fellow Americans-and my fellow citizens of the world community :",1,1
6,Justice,6.0,2.0,1.0,NNP,appos,3.0,3.0,3.0,3.0,-2.0,1,"Senator Dirksen , Mr. Chief Justice , Mr. Vice president , President Johnson , Vice president Humphrey , my fellow Americans-and my fellow citizens of the world community :",1,1
7,",",,,,",",,,,,,,1,"Senator Dirksen , Mr. Chief Justice , Mr. Vice president , President Johnson , Vice president Humphrey , my fellow Americans-and my fellow citizens of the world community :",1,1
8,Mr.,5.0,2.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,-2.0,1,"Senator Dirksen , Mr. Chief Justice , Mr. Vice president , President Johnson , Vice president Humphrey , my fellow Americans-and my fellow citizens of the world community :",1,1
9,Vice,3.0,1.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,1,"Senator Dirksen , Mr. Chief Justice , Mr. Vice president , President Johnson , Vice president Humphrey , my fellow Americans-and my fellow citizens of the world community :",1,1
10,president,9.0,3.0,2.0,NN,appos,3.0,3.0,3.0,3.0,-2.0,1,"Senator Dirksen , Mr. Chief Justice , Mr. Vice president , President Johnson , Vice president Humphrey , my fellow Americans-and my fellow citizens of the world community :",1,1
11,",",,,,",",,,,,,,1,"Senator Dirksen , Mr. Chief Justice , Mr. Vice president , President Johnson , Vice president Humphrey , my fellow Americans-and my fellow citizens of the world community :",1,1
12,President,9.0,3.0,2.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,1,"Senator Dirksen , Mr. Chief Justice , Mr. Vice president , President Johnson , Vice president Humphrey , my fellow Americans-and my fellow citizens of the world community :",1,1
13,Johnson,6.0,2.0,1.0,NNP,appos,3.0,3.0,3.0,3.0,-2.0,1,"Senator Dirksen , Mr. Chief Justice , Mr. Vice president , President Johnson , Vice president Humphrey , my fellow Americans-and my fellow citizens of the world community :",1,1
