widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,Mr.,5.0,2.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,-2.0,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0
2,Chief,3.0,1.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0
3,Justice,6.0,2.0,1.0,NNP,root,3.0,3.0,3.0,3.0,-2.0,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0
4,",",,,,",",,,,,,,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0
5,Mr.,5.0,2.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0
6,President,9.0,3.0,2.0,NNP,appos,3.0,3.0,3.0,3.0,-2.0,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0
7,",",,,,",",,,,,,,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0
8,Vice,3.0,1.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,-2.0,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0
9,President,9.0,3.0,2.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0
10,Quayle,4.0,1.0,1.0,NNP,appos,3.0,3.0,3.0,3.0,-2.0,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0
11,",",,,,",",,,,,,,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0
12,Senator,6.0,3.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0
13,Mitchell,5.0,2.0,1.0,NNP,appos,3.0,3.0,3.0,3.0,-2.0,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0
