widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,My,2.0,1.0,1.0,PRP$,nmod:poss,5.0,5.0,5.0,5.0,-4.0,1,"My fellow citizens , at this last Presidential Inauguration of the 20th century , let us lift our eyes toward the challenges that await us in the next century .",8,7
2,fellow,4.0,2.0,1.0,JJ,amod,4.0,4.0,4.0,4.0,-3.0,1,"My fellow citizens , at this last Presidential Inauguration of the 20th century , let us lift our eyes toward the challenges that await us in the next century .",8,7
3,citizens,8.0,3.0,1.0,NNS,nsubj,3.0,3.0,3.0,3.0,-2.0,1,"My fellow citizens , at this last Presidential Inauguration of the 20th century , let us lift our eyes toward the challenges that await us in the next century .",8,7
4,",",,,,",",,,,,,,1,"My fellow citizens , at this last Presidential Inauguration of the 20th century , let us lift our eyes toward the challenges that await us in the next century .",8,7
5,at,2.0,1.0,1.0,IN,case,4.0,4.0,3.0,4.0,-2.75,1,"My fellow citizens , at this last Presidential Inauguration of the 20th century , let us lift our eyes toward the challenges that await us in the next century .",8,7
6,this,3.0,1.0,1.0,DT,det,5.0,5.0,4.0,5.0,-3.75,1,"My fellow citizens , at this last Presidential Inauguration of the 20th century , let us lift our eyes toward the challenges that await us in the next century .",8,7
7,last,4.0,1.0,1.0,JJ,amod,4.0,4.0,4.0,4.0,-3.0,1,"My fellow citizens , at this last Presidential Inauguration of the 20th century , let us lift our eyes toward the challenges that await us in the next century .",8,7
8,Presidential,11.0,4.0,2.0,NNP,compound,3.0,3.0,3.0,3.0,-2.0,1,"My fellow citizens , at this last Presidential Inauguration of the 20th century , let us lift our eyes toward the challenges that await us in the next century .",8,7
9,Inauguration,10.0,5.0,2.0,NNP,nmod:at,4.0,4.0,4.0,4.0,-3.0,1,"My fellow citizens , at this last Presidential Inauguration of the 20th century , let us lift our eyes toward the challenges that await us in the next century .",8,7
10,of,2.0,1.0,1.0,IN,case,4.0,4.0,3.0,4.0,-2.75,1,"My fellow citizens , at this last Presidential Inauguration of the 20th century , let us lift our eyes toward the challenges that await us in the next century .",8,7
11,the,2.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,1,"My fellow citizens , at this last Presidential Inauguration of the 20th century , let us lift our eyes toward the challenges that await us in the next century .",8,7
12,20th,,,,JJ,amod,3.0,3.0,3.0,3.0,-2.0,1,"My fellow citizens , at this last Presidential Inauguration of the 20th century , let us lift our eyes toward the challenges that await us in the next century .",8,7
13,century,6.0,3.0,1.0,NN,nmod:of,2.0,2.0,2.0,2.0,-1.0,1,"My fellow citizens , at this last Presidential Inauguration of the 20th century , let us lift our eyes toward the challenges that await us in the next century .",8,7
14,",",,,,",",,,,,,,1,"My fellow citizens , at this last Presidential Inauguration of the 20th century , let us lift our eyes toward the challenges that await us in the next century .",8,7
15,let,3.0,1.0,1.0,VBP,root,2.0,2.0,2.0,2.0,-1.0,1,"My fellow citizens , at this last Presidential Inauguration of the 20th century , let us lift our eyes toward the challenges that await us in the next century .",8,7
16,us,2.0,1.0,1.0,PRP,nsubj,4.0,4.0,2.0,4.0,-2.5,1,"My fellow citizens , at this last Presidential Inauguration of the 20th century , let us lift our eyes toward the challenges that await us in the next century .",8,7
17,lift,4.0,1.0,1.0,VB,ccomp,2.0,2.0,2.0,2.0,-1.0,1,"My fellow citizens , at this last Presidential Inauguration of the 20th century , let us lift our eyes toward the challenges that await us in the next century .",8,7
18,our,2.0,2.0,1.0,PRP$,nmod:poss,4.0,4.0,4.0,4.0,-3.0,1,"My fellow citizens , at this last Presidential Inauguration of the 20th century , let us lift our eyes toward the challenges that await us in the next century .",8,7
19,eyes,2.0,1.0,1.0,NNS,dobj,2.0,2.0,2.0,2.0,-1.0,1,"My fellow citizens , at this last Presidential Inauguration of the 20th century , let us lift our eyes toward the challenges that await us in the next century .",8,7
20,toward,6.0,2.0,1.0,IN,case,3.0,3.0,3.0,3.0,-2.0,1,"My fellow citizens , at this last Presidential Inauguration of the 20th century , let us lift our eyes toward the challenges that await us in the next century .",8,7
21,the,2.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,1,"My fellow citizens , at this last Presidential Inauguration of the 20th century , let us lift our eyes toward the challenges that await us in the next century .",8,7
22,challenges,8.0,3.0,1.0,NNS,nmod:toward,2.0,2.0,2.0,2.0,-1.0,1,"My fellow citizens , at this last Presidential Inauguration of the 20th century , let us lift our eyes toward the challenges that await us in the next century .",8,7
23,that,3.0,1.0,1.0,WDT,ref,4.0,4.0,2.0,4.0,-2.5,1,"My fellow citizens , at this last Presidential Inauguration of the 20th century , let us lift our eyes toward the challenges that await us in the next century .",8,7
24,await,4.0,2.0,1.0,VBP,acl:relcl,2.0,2.0,2.0,2.0,-1.0,1,"My fellow citizens , at this last Presidential Inauguration of the 20th century , let us lift our eyes toward the challenges that await us in the next century .",8,7
25,us,2.0,1.0,1.0,PRP,dobj,4.0,4.0,2.0,4.0,-2.5,1,"My fellow citizens , at this last Presidential Inauguration of the 20th century , let us lift our eyes toward the challenges that await us in the next century .",8,7
26,in,2.0,1.0,0.0,IN,case,3.0,3.0,2.0,3.0,-1.75,1,"My fellow citizens , at this last Presidential Inauguration of the 20th century , let us lift our eyes toward the challenges that await us in the next century .",8,7
