widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,Thank,4.0,1.0,1.0,VB,root,1.0,1.0,2.0,1.0,-0.25,1,"Thank you , all .",1,1
2,you,2.0,1.0,1.0,PRP,dobj,4.0,4.0,1.0,4.0,-2.25,1,"Thank you , all .",1,1
3,",",,,,",",,,,,,,1,"Thank you , all .",1,1
4,all,2.0,1.0,1.0,DT,dep,4.0,4.0,4.0,4.0,-3.0,1,"Thank you , all .",1,1
5,.,,,,.,,,,,,,1,"Thank you , all .",1,1
1,Chief,3.0,1.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,-2.0,2,"Chief Justice Rehnquist , President Carter , President Bush , President Clinton , distinguished guests , and my fellow citizens .",0,0
2,Justice,6.0,2.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,2,"Chief Justice Rehnquist , President Carter , President Bush , President Clinton , distinguished guests , and my fellow citizens .",0,0
3,Rehnquist,8.0,2.0,2.0,NNP,root,3.0,3.0,3.0,3.0,-2.0,2,"Chief Justice Rehnquist , President Carter , President Bush , President Clinton , distinguished guests , and my fellow citizens .",0,0
4,",",,,,",",,,,,,,2,"Chief Justice Rehnquist , President Carter , President Bush , President Clinton , distinguished guests , and my fellow citizens .",0,0
5,President,9.0,3.0,2.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,2,"Chief Justice Rehnquist , President Carter , President Bush , President Clinton , distinguished guests , and my fellow citizens .",0,0
6,Carter,5.0,2.0,1.0,NNP,appos,3.0,3.0,3.0,3.0,-2.0,2,"Chief Justice Rehnquist , President Carter , President Bush , President Clinton , distinguished guests , and my fellow citizens .",0,0
7,",",,,,",",,,,,,,2,"Chief Justice Rehnquist , President Carter , President Bush , President Clinton , distinguished guests , and my fellow citizens .",0,0
8,President,9.0,3.0,2.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,2,"Chief Justice Rehnquist , President Carter , President Bush , President Clinton , distinguished guests , and my fellow citizens .",0,0
9,Bush,3.0,1.0,1.0,NNP,appos,3.0,3.0,3.0,3.0,-2.0,2,"Chief Justice Rehnquist , President Carter , President Bush , President Clinton , distinguished guests , and my fellow citizens .",0,0
10,",",,,,",",,,,,,,2,"Chief Justice Rehnquist , President Carter , President Bush , President Clinton , distinguished guests , and my fellow citizens .",0,0
11,President,9.0,3.0,2.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,2,"Chief Justice Rehnquist , President Carter , President Bush , President Clinton , distinguished guests , and my fellow citizens .",0,0
12,Clinton,7.0,2.0,1.0,NNP,appos,3.0,3.0,3.0,3.0,-2.0,2,"Chief Justice Rehnquist , President Carter , President Bush , President Clinton , distinguished guests , and my fellow citizens .",0,0
13,",",,,,",",,,,,,,2,"Chief Justice Rehnquist , President Carter , President Bush , President Clinton , distinguished guests , and my fellow citizens .",0,0
14,distinguished,11.0,3.0,1.0,JJ,amod,3.0,3.0,3.0,3.0,-2.0,2,"Chief Justice Rehnquist , President Carter , President Bush , President Clinton , distinguished guests , and my fellow citizens .",0,0
15,guests,5.0,1.0,1.0,NNS,appos,2.0,2.0,2.0,2.0,-1.0,2,"Chief Justice Rehnquist , President Carter , President Bush , President Clinton , distinguished guests , and my fellow citizens .",0,0
16,",",,,,",",,,,,,,2,"Chief Justice Rehnquist , President Carter , President Bush , President Clinton , distinguished guests , and my fellow citizens .",0,0
17,and,3.0,1.0,1.0,CC,cc,3.0,3.0,3.0,3.0,-2.0,2,"Chief Justice Rehnquist , President Carter , President Bush , President Clinton , distinguished guests , and my fellow citizens .",0,0
18,my,2.0,1.0,1.0,PRP$,nmod:poss,3.0,3.0,3.0,3.0,-2.0,2,"Chief Justice Rehnquist , President Carter , President Bush , President Clinton , distinguished guests , and my fellow citizens .",0,0
19,fellow,4.0,2.0,1.0,JJ,amod,2.0,2.0,2.0,2.0,-1.0,2,"Chief Justice Rehnquist , President Carter , President Bush , President Clinton , distinguished guests , and my fellow citizens .",0,0
20,citizens,8.0,3.0,1.0,NNS,appos,1.0,1.0,1.0,1.0,0.0,2,"Chief Justice Rehnquist , President Carter , President Bush , President Clinton , distinguished guests , and my fellow citizens .",0,0
